permit_number,app_year,species_code,lake_parent_name,lake_id,county,fk_PAR_ID,fk_Treatment_ID,pesticide_trade_name,supplier,,applicator_company_name,start_date,end_date,treatment_size,average_depth,rate_low,rate_high,rate_units,amount_total,amount_units,water_temp_low,water_temp_high,wind_speed_low,wind_speed_high,wind_direction,air_temp,temp_nos,grant_prgm ,PAR_comments
2017-0742,2020,CLP,Diamond,27012500,Hennepin,958,581,Sonar A.S.,SePro Corp.,,PLM Lake and Land Management Corp.,4/13/2020,4/13/2020,405,4,0.003,0.003,gal/acre-ft,5,gal,43.4,43.4,0,0,NW,32,,Y,
2019-0880,2020,CLP,Cleary,70002200,Scott,1621,1297,Sonar A.S.,SePro Corp.,,PLM Lake and Land Management Corp.,4/14/2020,4/14/2020,145,5,,,ppb,2,gal,40,40,2,2,NW,27,,Y,rate missing and hard to calculate. is the rate .003 gal/acre-ft?
,2020,CLP,Benton,41004300,Lincoln,1373,1235,Sonar A.S.,SePro Corp.,,PLM Lake and Land Management Corp.,4/23/2020,4/23/2020,1034,9,0.003,0.003,gal/acre-ft,27.53,gal,52.3,52.3,7,7,ENE,62,,Y,Is the quantity and rate of pesticide correct? No permit number. 
2017-0384,2020,"EWM, CLP",Josephine,62005700,Ramsey,1205,2183,Sonar A.S.,SePro Corp.,,"Lake Management, Inc.",4/30/2020,4/30/2020,117,8.5,4,4,ppb,3.81,gal,,,4,4,SE,66,,Y,Whole-lake treatment. Cost includes bump treatments and concentration monitoring.
,2020,CLP,Josephine,62005700,Ramsey,1205,2183,Sonar A.S.,SePro Corp.,,"Lake Management, Inc.",4/30/2020,4/30/2020,117,,4,4,ppb,3.81,gal,,,4,4,SE,,,Y,Whole-lake treatment. Cost includes bump treatments and concentration monitoring.
2017-0522,2020,CLP,Hyland,27004800,Hennepin,1623,1299,Tribune,"Syngenta Crop Protection, LLC",,PLM Lake and Land Management Corp.,4/30/2020,4/30/2020,9,5,2,2,gal/acre,18,gal,59.5,59.5,3,3,ENE,60,,Y,1/2 chemicals listed on PAR. Other chem is Kammo
2018-0395,2020,CLP,Limestone,86016300,Wright,505,2701,Aquathol K,United Phosphorus Inc.,,Aquatic Solutions of Minnesota,5/4/2020,5/4/2020,2.5,4.5,1.5,1.5,ppm,10.7,gal,,,6,6,SE,,52,Y,PAR 2/2. Cost on record for PAR 1/2.
2017-0621,2020,CLP,Linwood,2002600,Anoka,506,2703,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/4/2020,5/4/2020,27.4,5.8,1,1,gal/acre-ft,27.4,gal,55,55,3,6,E,45,,Y,PAR 2/3. Cost recorded on PAR 1/3.
2017-0621,2020,CLP,Linwood,2002600,Anoka,507,2704,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/4/2020,5/4/2020,9.5,5.9,1,1,gal/acre-ft,9.5,gal,56,56,2,4,E,47,,Y,PAR 3/3. Cost recorded on PAR 1/3.
2018-0395,2020,CLP,Limestone,86016300,Wright,619,994,Aquathol K,United Phosphorus Inc.,,Aquatic Solutions of Minnesota,5/4/2020,5/4/2020,5.4,5,1,1,ppm,17.23,gal,,,5,5,SE,,52,Y,PAR 1/2. Cost on record for PAR 1/2.
2017-0621,2020,CLP,Linwood,2002600,Anoka,952,572,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/4/2020,5/4/2020,4,6,1,1,gal/acre-ft,4,gal,55,55,2,5,E,42,,Y,PAR 1/3. Cost recorded on PAR 1/3.
2017-1154,2020,CLP,Bald Eagle,62000200,Ramsey,1338,1198,Diquat Herbicide,"Alligare, LLC",,"Lake Management, Inc.",5/4/2020,5/4/2020,13.6,4,2,2,gal/acre-ft,27.2,gal,,,6,8,ESE,57,,Y,7 PARs with one invoice reported on this first record; total of 72.6 acres. Record #1.
2017-1154,2020,CLP,Bald Eagle,62000200,Ramsey,1896,2419,Diquat Herbicide,"Alligare, LLC",,"Lake Management, Inc.",5/4/2020,5/4/2020,25.7,4,2,2,gal/acre-ft,51.4,gal,,,5,7,SE,56,,Y,Record #2.
2017-1154,2020,CLP,Bald Eagle,62000200,Ramsey,1897,2420,Diquat Herbicide,"Alligare, LLC",,"Lake Management, Inc.",5/4/2020,5/4/2020,11.5,4,2,2,gal/acre-ft,23,gal,,,7,8,ESE,59,,Y,Record #3.
2017-1154,2020,CLP,Bald Eagle,62000200,Ramsey,1898,2421,Diquat Herbicide,"Alligare, LLC",,"Lake Management, Inc.",5/4/2020,5/4/2020,8.8,4,2,2,gal/acre-ft,17.6,gal,,,7,9,ESE,60,,Y,Record #4.
2017-1154,2020,CLP,Bald Eagle,62000200,Ramsey,1899,2422,Diquat Herbicide,"Alligare, LLC",,"Lake Management, Inc.",5/4/2020,5/4/2020,7.6,4,2,2,gal/acre-ft,15.2,gal,,,5,8,SE,58,,Y,Record #5.
2017-1154,2020,CLP,Bald Eagle,62000200,Ramsey,1900,2423,Diquat Herbicide,"Alligare, LLC",,"Lake Management, Inc.",5/4/2020,5/4/2020,5.4,4,2,2,gal/acre-ft,10.8,gal,,,5,5,SE,58,,Y,Record #6.
2018-0787,2020,CLP,Roberds,66001800,Rice,,,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/4/2020,5/4/2020,20,6,1,1,ppm,64,gal,,,7,7,E,52,,Y,
2018-0293,2020,CLP,Fannie,30004300,Isanti,401,2597,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,3.5,5,0.6,0.6,gal/acre-ft,10.5,gal,56,56,3,3,ESE,50,,Y,1 ppm. PAR 2/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,402,2598,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,2.5,5,0.6,0.6,gal/acre-ft,7.5,gal,56,56,3,3,ESE,50,,Y,1 ppm. PAR 3/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,403,2599,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,8.5,5,0.6,0.6,gal/acre-ft,25.5,gal,56,56,3,3,ESE,51,,Y,1 ppm. PAR 4/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,404,2600,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,4.2,5,0.6,0.6,gal/acre-ft,12.6,gal,55,55,4,4,ESE,47,,Y,1 ppm. PAR 5/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,405,2601,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,3.25,5,0.6,0.6,gal/acre-ft,9.75,gal,56,56,5,5,ESE,50,,Y,1 ppm. PAR 6/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,406,2602,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,1.9,5,0.6,0.6,gal/acre-ft,5.7,gal,56,56,2,2,ESE,50,,Y,1 ppm. PAR 7/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,407,2603,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,5,5,0.6,0.6,gal/acre-ft,15,gal,55,55,4,4,ESE,48,,Y,1 ppm. PAR 8/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,408,2604,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,2.8,5,0.6,0.6,gal/acre-ft,8.4,gal,56,56,3,3,ESE,50,,Y,1 ppm. PAR 9/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,409,2605,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,1.1,5,0.6,0.6,gal/acre-ft,3.3,gal,55,55,3,3,SE,46,,Y,1 ppm. PAR 10/10
2018-0293,2020,CLP,Fannie,30004300,Isanti,977,596,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/5/2020,5/5/2020,3.6,5,0.6,0.6,gal/acre-ft,10.8,gal,54,54,1,3,SE,46,,Y,1 ppm. PAR 1/10. Total 36.35 acres (all 10 PARs).
2018-0118,2020,CLP,Pearl,73003700,Stearns,,,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/5/2020,5/5/2020,15.9,6.75,4,4,gal/acre,63.6,gal,,,2,2,N,53,,Y,PAR 1/3
2018-0118,2020,CLP,Pearl,73003700,Stearns,,,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/5/2020,5/5/2020,4.3,6.75,4,4,gal/acre,17.2,gal,,,4,4,N,54,,Y,PAR 2/3
2018-0118,2020,CLP,Pearl,73003700,Stearns,,,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/5/2020,5/5/2020,15,6.75,4,4,gal/acre,60,gal,,,3,3,N,56,,Y,PAR 3/3
,2020,CLP,Clear,81001401,Waseca,377,2573,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/6/2020,5/6/2020,3.3,,0.75,0.75,ppm,,,,,5,5,N,,,Y,PAR 2/3
2017-1307,2020,CLP,Clear,81001401,Waseca,378,2574,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/6/2020,5/6/2020,24.2,5,0.75,0.75,ppm,54.45,,,,5,5,N,,57,Y,PAR 3/3
,2020,CLP,Duck,7005300,Blue Earth,389,2585,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/6/2020,5/6/2020,16.5,,2,2,gal/acre-ft,33,gal,58,58,3,9,NW,,,Y,2 ppm. PAR 2/3: Site 2
2018-1014,2020,CLP,Duck,7005300,Blue Earth,390,2586,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/6/2020,5/6/2020,2.7,5,2,2,gal/acre,5.4,gal,58,58,5,7,NW,54,,Y,PAR 1/3: Site 4
2018-1014,2020,CLP,Duck,7005300,Blue Earth,962,587,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/6/2020,5/6/2020,4.5,5,2,2,gal/acre,9,gal,58,58,5,7,NW,54,,Y,2 ppm. PAR 2/3: Site 1
2017-1307,2020,CLP,Clear,81001401,Waseca,1374,1236,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/6/2020,5/6/2020,2.5,5,0.75,0.75,ppm,5.625,gal,,,5,5,N,,57,Y,PAR 1/3. 67.477 gal of Aquathol K used between all 3 PARs.
2017-1307,2020,CLP,Clear,81001401,Waseca,,,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/6/2020,5/6/2020,3.3,5,0.75,0.75,ppm,7.425,gal,,,5,5,N,,57,Y,PAR 2/3. 67.477 gal of Aquathol K used between all 3 PARs.
2018-1014,2020,CLP,Duck,7005300,Blue Earth,,,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/6/2020,5/6/2020,16.5,5,2,2,gal/acre,33,gal,58,58,3,9,NW,53,,Y,2 ppm. PAR 3/3: Site 2
2017-0365,2020,CLP,Long,47017700,Meeker,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/6/2020,5/6/2020,1,4,1,1,ppm,2.4,gal,58,58,7,7,NW,55,,Y,"PAR 1/4, 19 acres and 45.6 gallons total"
2017-0365,2020,CLP,Long,47017700,Meeker,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/6/2020,5/6/2020,8,4,1,1,ppm,19.2,gal,58,58,7,7,NW,55,,Y,"PAR 2/4, 19 acres and 45.6 gallons total"
2017-0365,2020,CLP,Long,47017700,Meeker,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/6/2020,5/6/2020,3,4,1,1,ppm,7.2,gal,58,58,7,7,NW,55,,Y,"PAR 3/4, 19 acres and 45.6 gallons total"
2017-0365,2020,CLP,Long,47017700,Meeker,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/6/2020,5/6/2020,7,4,1,1,ppm,16.8,gal,58,58,7,7,NW,55,,Y,"PAR 4/4, 19 acres and 45.6 gallons total"
2019-0880,2020,CLP,Cleary,70002200,Scott,1829,2377,Sonar A.S.,SePro Corp.,,PLM Lake and Land Management Corp.,5/6/2020,5/6/2020,145,5,,,ppb,0.85,gal,54,54,7,7,NNW,55,,Y,"rate missing and hard to calculate, especially because this seems to be a bump treatment. "
2019-0027,2020,CLP,Washington,40011700,Le Sueur,,,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/6/2020,5/6/2020,6.5,6.5,0.6,0.6,gal/acre-ft,25.35,gal,56,56,5,5,NW,46,,Y,PAR 6/7
2019-0027,2020,CLP,Washington,40011700,Le Sueur,,,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/6/2020,5/6/2020,14.6,7,0.6,0.6,gal/acre-ft,61.32,gal,56,56,3,8,NW,53,,Y,PAR 1/7
2019-0027,2020,CLP,Washington,40011700,Le Sueur,,,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/6/2020,5/6/2020,6.3,6,0.6,0.6,gal/acre-ft,22.68,gal,56,56,5,8,NW,55,,Y,PAR 2/7
2019-0027,2020,CLP,Washington,40011700,Le Sueur,,,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/6/2020,5/6/2020,6.5,5,0.6,0.6,gal/acre-ft,19.5,gal,58,58,5,5,NW,54,,Y,PAR 3/7
2019-0027,2020,CLP,Washington,40011700,Le Sueur,,,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/6/2020,5/6/2020,27.5,7,0.6,0.6,gal/acre-ft,115.5,gal,55,55,2,4,NW,46,,Y,PAR 4/7
2019-0027,2020,CLP,Washington,40011700,Le Sueur,,,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/6/2020,5/6/2020,15,6.5,0.6,0.6,gal/acre-ft,58.5,gal,55,55,2,5,NW,48,,Y,PAR 5/7
2019-0027,2020,CLP,Washington,40011700,Le Sueur,,,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/6/2020,5/6/2020,4.3,8,0.6,0.6,gal/acre-ft,20.64,gal,55,55,5,5,NW,46,,Y,PAR 7/7
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,1.51,4.91,1.25,1.25,ppm,5.93,gal,54,54,8,8,NE,42,,Y,PAR 1/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,1.14,4.48,1.25,1.25,ppm,4.09,gal,54,54,8,8,NE,42,,Y,PAR 2/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,0.1,6.51,1.25,1.25,ppm,0.52,gal,54,54,8,8,NE,42,,Y,PAR 3/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,0.29,5.39,1.25,1.25,ppm,1.25,gal,54,54,8,8,NE,42,,Y,PAR 4/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,0.13,4.82,1.25,1.25,ppm,0.5,gal,54,54,8,8,NE,42,,Y,PAR 5/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,0.69,4.15,1.25,1.25,ppm,2.29,gal,54,54,8,8,NE,42,,Y,PAR 6/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,0.12,3.61,1.25,1.25,ppm,0.35,gal,54,54,8,8,NE,42,,Y,PAR 7/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,0.12,5.36,1.25,1.25,ppm,0.51,gal,54,54,8,8,NE,42,,Y,PAR 8/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,0.98,2.9,1.25,1.25,ppm,2.27,gal,54,54,8,8,NE,42,,Y,PAR 9/10
2017-0973,2020,CLP,Sebie,18016100,Crow Wing,,,Aquathol K,United Phosphorus Inc.,,"Clarke Aquatic Services, Inc.",5/8/2020,5/8/2020,0.1,6.08,1.25,1.25,ppm,0.49,gal,54,54,8,8,NE,42,,Y,PAR 10/10
,2020,EWM,George,2009100,Anoka,430,2626,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,8.5,,2,2,gal/acre-ft,17,gal,54,54,7,7,NW,,,Y,PAR 2/4
,2020,EWM,George,2009100,Anoka,431,2627,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,8.6,,2,2,gal/acre-ft,17.2,gal,54,54,7,7,NW,,,Y,PAR 3/4
,2020,EWM,George,2009100,Anoka,432,2628,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,3.9,,0.75,0.75,gal/acre-ft,,,54,54,2,6,NW,,,Y,PAR 4/4
,2020,EWM,George,2009100,Anoka,950,567,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,30.4,,1.8,1.8,gal/acre-ft,16.45,gal,54,54,3,3,NW,,,Y,PAR 1/4
,2020,CLP,Cedar,66005200,Rice,373,2569,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/11/2020,5/11/2020,3.5,,0.75,0.75,ppm,7.875,gal,52,52,5,5,N,,,Y,PAR 3/5
,2020,CLP,Cedar,66005200,Rice,374,2570,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/11/2020,5/11/2020,4.3,5,0.75,0.75,ppm,9.675,gal,52,52,5,5,N,,,Y,PAR 4/5
2017-1306,2020,CLP,Cedar,66005200,Rice,617,992,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/11/2020,5/11/2020,5.7,,0.75,0.75,ppm,62.578,gal,,,5,5,N,,52,Y,PAR 3/5
2017-1027,2020,CLP,George,2009100,Anoka,951,568,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,16.5,4.58,2,2,gal/acre,33,gal,54,54,2,4,NW,39,,Y,1 of 5
2017-1306,2020,CLP,Cedar,66005200,Rice,,,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/11/2020,5/11/2020,4.3,5,0.75,0.75,ppm,9.67,gal,,,5,5,N,,52,Y,PAR 1/5
2017-1306,2020,CLP,Cedar,66005200,Rice,,,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/11/2020,5/11/2020,3.5,5,0.75,0.75,ppm,7.875,gal,,,5,5,N,,52,Y,PAR 2/5
2017-1306,2020,CLP,Cedar,66005200,Rice,,,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/11/2020,5/11/2020,8.3,7,0.75,0.75,ppm,26.14,gal,,,3,3,N,,52,Y,PAR 4/5
2017-1306,2020,CLP,Cedar,66005200,Rice,,,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/11/2020,5/11/2020,2.7,5,0.75,0.75,ppm,6.075,gal,,,3,3,N,,52,Y,PAR 5/5
2017-1027,2020,CLP,George,2009100,Anoka,,,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,9.4,5,1.75,1.75,gal/acre,16.45,gal,54,54,3,3,NW,39,,Y,2 of 5
2017-1027,2020,CLP,George,2009100,Anoka,,,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,8.5,5,2,2,gal/acre,17,gal,54,54,7,7,NW,38,,Y,3 of 5
2017-1027,2020,CLP,George,2009100,Anoka,,,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,8.6,7.24,2,2,gal/acre,17.2,gal,54,54,7,7,NW,38,,Y,4 of 5
2017-1027,2020,CLP,George,2009100,Anoka,,,Dibrox,"Lake Restoration, Inc.",,Lake Restoration,5/11/2020,5/11/2020,3.9,1.5,0.75,0.75,gal/acre,2.925,gal,54,54,2,6,NW,41,,Y,5 of 5. amount used left blank but calculated based on size and rate.
2017-1709,2020,CLP,Bone,82005400,Washington,348,2542,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,2.47,4,1.25,1.25,ppm,7.9,gal,,,3,3,NE,47,,Y,PAR 2/2. 3.2 gal/acre
,2020,CLP,Cedar,66005200,Rice,372,2568,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/12/2020,5/12/2020,2.7,,0.75,0.75,ppm,6.075,gal,52,52,3,3,N,,,Y,PAR 2/5
,2020,CLP,Cedar,66005200,Rice,375,2571,Aquathol K,United Phosphorus Inc.,,Lakescapes LLC,5/12/2020,5/12/2020,8.3,,0.75,0.75,ppm,26.145,gal,52,52,3,3,N,,,Y,PAR 5/5
2017-0917,2020,CLP,Forest,82015900,Washington,418,2614,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,1.96,9,7.2,7.2,gal/acre,14.11,gal,56,56,,,,55,,Y,1.25 ppm. PAR 2/10. wind speed and direction blank.
2017-0917,2020,CLP,Forest,82015900,Washington,419,2615,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,0.62,9,7.2,7.2,gal/acre,4.46,gal,55,55,2,2,NE,54,,Y,1.25 ppm. PAR 3/10.
2017-0917,2020,CLP,Forest,82015900,Washington,420,2616,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,2.44,9,7.2,7.2,gal/acre,17.56,gal,56,56,3,3,NE,54,,Y,1.25 ppm. PAR 4/10.
2017-0917,2020,CLP,Forest,82015900,Washington,421,2617,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,21.33,9,7.2,7.2,gal/acre,153.57,gal,55,55,,,,48,,Y,1.25 ppm. PAR 5/10. wind speed and direction blank.
2017-0917,2020,CLP,Forest,82015900,Washington,422,2618,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,14.68,9,7.2,7.2,gal/acre,105.69,gal,55,55,2,2,SW,52,,Y,1.25 ppm. PAR 6/10.
2017-0917,2020,CLP,Forest,82015900,Washington,423,2619,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,3.92,9,7.2,7.2,gal/acre,28.22,gal,55,55,3,3,SW,50,,Y,1.25 ppm. PAR 7/10.
2017-0917,2020,CLP,Forest,82015900,Washington,424,2620,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,6.48,9,7.2,7.2,gal/acre,46.65,gal,55,55,3,3,SW,53,,Y,1.25 ppm. PAR 8/10.
2017-0917,2020,CLP,Forest,82015900,Washington,425,2621,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,2.15,9,7.2,7.2,gal/acre,15.48,gal,56,56,,,,54,,Y,1.25 ppm. PAR 9/10. wind speed and direction blank. 
2017-0917,2020,CLP,Forest,82015900,Washington,426,2622,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,4.1,9,7.2,7.2,gal/acre,29.52,gal,54,54,2,2,SW,53,,Y,1.25 ppm. PAR 10/10.
2017-1709,2020,CLP,Bone,82005400,Washington,556,922,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,2.67,4,1.25,1.25,ppm,8.5,gal,,,3,3,NE,47,,Y,PAR 1/2. 3.2 gal/acre
2017-0917,2020,CLP,Forest,82015900,Washington,597,969,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,1.63,9,7.2,7.2,gal/acre,11.73,gal,56,56,,,,56,,Y,1.25 ppm. PAR 1/10. wind speed and direction blank.
2017-0667,2020,CLP,Clear,82016300,Washington,,,Aquathol K,United Phosphorus Inc.,,"Lake Management, Inc.",5/12/2020,5/12/2020,5.31,4,3.2,3.2,gal/acre,16.99,gal,,,4,4,NE,39,,Y,
2018-1045,2020,CLP,Rush,13006901,Chisago,,,Aquathol K,United Phosphorus Inc. ,,Lake Restoration ,5/12/2020,5/12/2020,5.18,6.3,1.2,1.2,gal/acre-ft,39.16,gal,52,52,1,1,N,40,,Y,1 of 8. 2 ppm. 
2018-1045,2020,CLP,Rush,13006901,Chisago,,,Aquathol K,United Phosphorus Inc. ,,Lake Restoration ,5/12/2020,5/12/2020,3.8,4.1,1.8,1.8,gal/acre-ft,28.04,gal,52,52,1,1,SW,40,,Y,2 of 8. 3 ppm.
2018-1045,2020,CLP,Rush,13006901,Chisago,,,Aquathol K,United Phosphorus Inc. ,,Lake Restoration ,5/12/2020,5/12/2020,3.65,7.3,1.8,1.8,gal/acre-ft,47.96,gal,52,52,2,2,N,39,,Y,3 of 8. 3 ppm.
2018-1045,2020,CLP,Rush,13006901,Chisago,,,Aquathol K,United Phosphorus Inc. ,,Lake Restoration,5/12/2020,5/12/2020,7.37,5.9,1.2,1.2,gal/acre-ft,52.18,gal,52,52,1,1,N,39,,Y,4 of 8. 2 ppm
2018-1045,2020,CLP,Rush,13006901,Chisago,,,Aquathol K,United Phosphorus Inc. ,,Lake Restoration,5/12/2020,5/12/2020,2.15,5.6,1.8,1.8,gal/acre-ft,21.67,gal,52,52,,,,46,,Y,"5 of 8. 3 ppm. wind = light, variable direction."
2018-1045,2020,CLP,Rush,13006901,Chisago,,,Aquathol K,United Phosphorus Inc. ,,Lake Restoration,5/12/2020,5/12/2020,9.02,6,1.2,1.2,gal/acre-ft,64.94,gal,52,52,,,,46,,Y,"6 of 8. 2 ppm. wind = light, variable direction."
2018-1045,2020,CLP,Rush,13006901,Chisago,,,Aquathol K,United Phosphorus Inc. ,,Lake Restoration,5/12/2020,5/12/2020,4.03,5.7,1.8,1.8,gal/acre-ft,41.35,gal,53,53,,,,46,,Y,"7 of 8. 2 ppm. wind = light, variable direction."
2018-1045,2020,CLP,Rush,13006901,Chisago,,,Aquathol K,United Phosphorus Inc. ,,Lake Restoration,5/12/2020,5/12/2020,4.38,6.6,1.8,1.8,gal/acre-ft,52.03,gal,53,53,,,,48,,Y,"8 of 8. 2 ppm. wind = light, variable direction."
2017-1507,2020,CLP,Maple,86013400,Wright,,,Tribune,"Syngenta Crop Protection, LLC",,PLM Lake and Land Management Corp.,5/12/2020,5/12/2020,10.1,5,2,2,gal/acre,20.2,gal,59,59,0,5,W,56,,Y,
2018-0544,2020,CLP,Pleasant,86025100,Wright,,,Tribune,"Syngenta Crop Protection, LLC",,PLM Lake and Land Management Corp.,5/12/2020,5/12/2020,15,9.5,2,2,gal/acre,30,gal,57,57,0,5,E,56,,Y,
,2020,CLP,Darling,21008000,Douglas,387,2583,Aquathol K,United Phosphorus Inc.,,Lake Restoration,5/13/2020,5/13/2020,5,,1.2,1.2,gal/acre-ft,54,,55,55,0,0,,,,Y,2 ppm. PAR 2/3.
2017-2184,2020,CLP,Crooked,2008400,Anoka,,,Tribune,"Syngenta Crop Protection, LLC",,PLM Lake and Land Management Corp.,5/13/2020,5/13/2020,5.9,5,2,2,gal/acre,11.8,gal,57.4,57.4,7,7,SE,54,,Y,
