OBJECTID,DOWLKNUM,LK_PCTLTRL,LK_LZACRES,LK_LZDEPTH,AREA,ACRES,PERFEET,PERIMETER,LAKE_NAME,Shape_Length,Shape_Area
102043,02002200,99.45999908,72.3,15,292587.014,72.298,8255.508,2516.284,Island,2516.283846,292587.0142
102044,02002600,85.23999786,484.91,15,1962405.686,484.91,35472.792,10812.129,Linwood,10812.12898,1962405.696
102045,02002800,98.83999634,90.32,15,365523.556,90.321,14497.209,4418.758,Boot,4418.758011,365523.5555
102046,02003400,84.81999969,214.28,15,867183.43,214.281,30903.802,9419.498,Martin,9419.497791,867183.4253
102047,02003500,79.37000275,47.87,15,193713.53,47.867,14861.354,4529.75,Fawn,4529.749887,193713.5299
102048,02004200,89.91999817,1331.96,15,5390386.758,1331.965,106197.88,32369.179,Coon,32369.17759,5390386.759
102049,02004500,90.33000183,51.28,15,207507.134,51.275,10044.122,3061.454,Golden,3061.454499,207507.1393
102050,02005200,93.09999847,111.09,15,449584.653,111.092,18061.769,5505.238,Netta,5505.238113,449584.6635
102051,02005300,89.36000061,190.45,15,770740.483,190.45,24078.646,7339.186,Ham,7339.185988,770740.4862
102052,02005900,100,184.55,15,746851.572,184.547,17878.188,5449.282,Deer,5449.282499,746851.5791
102053,02006500,100,342.47,15,1385961.378,342.471,15335.423,4674.246,Fish,4674.246185,1385961.385
102054,02007000,100,50.22,15,203248.343,50.223,6866.173,2092.814,Coopers,2092.813649,203248.3466
102055,02007100,95.87999725,30.71,15,124275.739,30.709,6241.576,1902.436,Spring,1902.436048,124275.7346
102056,02007200,100,66.13,15,267606.382,66.126,7203.289,2195.567,Laddie,2195.566823,267606.3841
102057,02007500,96.73999786,93.32,15,377669.481,93.322,17512.356,5337.777,Moore,5337.777112,377669.4901
102058,02007501,92.43000031,25.51,15,103240.669,25.511,8426.941,2568.537,East Moore,2568.536806,103240.6677
102059,02008400,73.09999847,84.02,15,340012.149,84.017,23766.322,7243.989,Crooked,7243.989031,340012.1543
102060,02009100,78.66000366,383.26,15,1551048.977,383.264,30583.079,9321.741,George,9321.74145,1551048.967
102061,02010600,94.16999817,46.22,15,187029.817,46.215,8409.199,2563.129,Norris,2563.129041,187029.8162
102062,02012200,97.5,92.67,15,375050.01,92.675,23025.697,7018.247,Burns,7018.246623,375049.9984
102063,02013300,65.63999939,68.04,15,275336.225,68.036,16133.452,4917.486,East Twin,4917.48586,275336.2324
102064,02076400,98.72000122,35.97,15,145561.837,35.968,13519.245,4120.674,Club West,4120.673746,145561.8367
102065,03000500,43.52999878,26.51,15,107265.269,26.505,21784.476,6639.921,Shipman,6639.921716,107265.2814
102066,03000600,73.76999664,12.39,15,50144.616,12.391,7333.613,2235.29,Little,2235.289575,50144.61111
102067,03000700,52.65999985,46.17,15,186830.833,46.166,25322.521,7718.32,Blueberry,7718.319705,186830.8189
102068,03001000,44.84999847,211.43,15,855630.281,211.426,80552.446,24552.435,Straight,24552.43471,855630.3179
102069,03001700,33.91999817,197.35,15,798668.069,197.351,69921.862,21312.226,Two Inlets,21312.22579,798668.0868
102070,03002900,97.62000275,140.23,15,567496.22,140.228,22426.049,6835.474,Hungry Man,6835.473638,567496.2066
102071,03003000,25.65999985,98.83,15,399946.499,98.827,70225.238,21404.695,Boot,21404.69499,399946.4888
102072,03004400,43.75,25.9,15,104827.213,25.903,12709.529,3873.872,Dinner,3873.871979,104827.1972
102073,03008200,100,114.18,15,462070.883,114.178,11653.004,3551.843,Wahbegon,3551.843162,462070.878
102074,03008500,28.23999977,210.59,15,852256.983,210.593,118845.635,36224.222,Bad Medicine,36224.22169,852256.9707
102075,03008800,65.33999634,128.5,15,520050.422,128.504,26583.627,8102.706,Bass,8102.705674,520050.4342
102076,03009200,99.47000122,112.56,15,455505.332,112.555,14097.752,4297.004,Basswood,4297.004053,455505.3264
102077,03009600,100,592.44,15,2397554.805,592.436,26685.739,8133.829,Big Basswood,8133.829335,2397554.784
102078,03010100,98.79000092,1459.81,15,5907764.062,1459.808,75464.075,23001.496,Wolf,23001.49589,5907764.064
