"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size"
"2017-0562","Scott","Cedar",70009100,2023,"CLP","Sonar A.S.",2023-04-14,2023-04-14,793
"2017-0566","Scott","McMahon",70005000,2021,"CLP","Tribune",2021-05-17,2021-05-17,16.5
"2017-0573","Hennepin","Rebecca",27019200,2021,"CLP","Tribune",2021-05-07,2021-05-07,35
"2017-0582","Scott","O'Dowd",70009500,2021,"CLP","Tribune",2021-05-24,2021-05-24,17.64
"2017-0600","Wright","Fish",86018300,2021,"EWM","ProcellaCOR",2021-07-16,2021-07-16,5.3
"2017-0600","Wright","Fish",86018300,2022,"EWM","ProcellaCOR EC",2022-09-28,2022-09-28,3.3
"2017-0600","Wright","Fish",86018300,2024,"CLP","ProcellaCOR EC",2024-07-12,2024-07-12,7.9
"2017-0620","Kanabec","Quamba",33001500,2020,"CLP","Aquathol K",2020-05-19,2020-05-19,27.8
"2017-0621","Anoka","Linwood",2002600,2020,"CLP","Dibrox",2020-05-04,2020-05-04,40.9
"2017-0621","Anoka","Linwood",2002600,2021,"CLP","Dibrox",2021-05-05,2021-05-05,42.3
"2017-0645","Scott","Thole/Schneider",70012001,2021,"CLP","Tribune",2021-05-24,2021-05-24,7.42
"2017-0653","Ramsey","Long",62006700,2020,"EWM","Dibrox",2020-07-20,2020-07-20,4.91
"2017-0653","Ramsey","Long",62006700,2025,"EWM","ProcellaCOR EC",2025-07-02,2025-07-02,8.79
"2017-0663","Wright","Brooks",86026400,2022,"CLP","Aquathol K",2022-05-22,2022-05-22,5.12
"2017-0663","Wright","Brooks",86026400,2023,"CLP","Aquathol K",2022-05-15,2023-05-15,5.12
"2017-0663","Wright","Brooks",86026400,2024,"CLP","Aquathol K",2024-04-24,2024-04-24,7.12
"2017-0666","Washington","Clear",82016300,2024,"EWM","Sonar A.S.",2024-05-30,2024-09-10,1715.6
"2017-0667","Washington","Clear",82016300,2020,"CLP","Aquathol K",2020-05-12,2020-05-12,5.31
"2017-0671","Sherburne","Rush",71014700,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,24
"2017-0671","Sherburne","Rush",71014700,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,23.96
"2017-0729","Pope","Scandinavian",61004100,2020,"EWM","Dibrox",2020-08-06,2020-08-06,9.72
"2017-0729","Pope","Scandinavian",61004100,2022,"EWM","2,4-D Amine",2022-07-15,2022-07-15,32.5
"2017-0729","Pope","Scandinavian",61004100,2025,"EWM","2,4-D Amine",2025-07-17,2025-07-17,42.5
"2017-0742","Hennepin","Diamond",27012500,2020,"CLP","Sonar A.S.",2020-04-13,2020-04-13,405
"2017-0742","Hennepin","Diamond",27012500,2021,"CLP","Sonar A.S.",2021-04-07,2021-04-27,810
"2017-0742","Hennepin","Diamond",27012500,2022,"CLP","Sonar A.S.",2022-04-20,2022-04-20,405
"2017-0742","Hennepin","Diamond",27012500,2023,"CLP","Tribune",2023-05-15,2023-05-15,45.1
"2017-0742","Hennepin","Diamond",27012500,2024,"CLP","Tribune",2024-04-24,2024-04-24,59.7
"2017-0743","Aitkin","Gun",1009900,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,2.73
"2017-0753","Hennepin","Mooney",27013400,2021,"CLP","Dibrox",2021-05-07,2021-05-07,9.1
"2017-0820","Wright","Cedar",86022700,2020,"CLP","Tribune",2020-05-19,2020-05-19,13.5
"2017-0823","Anoka","Linwood",2002600,2024,"EWM","Platoon",2024-08-26,2024-08-26,28.8
"2017-0825","Stearns","Middle Spunk",73012800,2020,"EWM","2,4-D Amine",2020-08-20,2020-08-20,6.82
"2017-0825","Stearns","Middle Spunk",73012800,2021,"EWM","Platoon",2021-08-09,2021-08-09,1.23
"2017-0825","Stearns","Middle Spunk",73012800,2022,"EWM","2,4-D Amine",2022-08-04,2022-08-04,18.3
"2017-0828","Wright","Pulaski",86005302,2020,"EWM","ProcellaCOR EC",2020-07-22,2020-07-22,17.2
"2017-0828","Wright","Pulaski",86005302,2021,"EWM","ProcellaCOR EC",2021-07-09,2021-07-09,16.7
"2017-0830","Kanabec","Lewis",33003200,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,1.17
"2017-0830","Kanabec","Lewis",33003200,2024,"CLP","Propeller",2025-04-29,2025-04-29,5.13
"2017-0857","Hennepin","Medicine",27010400,2021,"CLP","Tribune",2021-05-06,2021-05-06,63.21
"2017-0857","Hennepin","Medicine",27010400,2022,"SSW","Galleon SC",2022-05-16,2022-05-16,119.5
"2017-0871","Wright","Indian",86022300,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,2.5
"2017-0871","Wright","Indian",86022300,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,4.6
"2017-0871","Wright","Indian",86022300,2022,"CLP","Aquathol K",2022-05-23,2022-05-23,2.73
"2017-0873","Wright","Indian",86022300,2020,"EWM","2,4-D Amine",2020-07-01,2020-07-01,8.5
"2017-0873","Wright","Indian",86022300,2022,"EWM","2,4-D Amine",2022-07-25,2022-07-25,5.75
"2017-0892","Wright","Beebe",86002300,2022,"CLP","Aquathol K",2022-05-17,2022-05-17,14.39
"2017-0892","Wright","Beebe",86002300,2023,"CLP","Aquathol K",2023-05-07,2023-05-07,14.39
"2017-0917","Washington","Forest",82015900,2020,"CLP","Aquathol K",2020-05-12,2020-05-12,59.31
"2017-0968","Hennepin","Crystal",27003400,2021,"CLP","Aquathol K",2021-05-10,2021-05-10,5.1
"2017-0973","Crow Wing","Sebie",18016100,2020,"CLP","Aquathol K",2020-05-08,2020-05-08,5.18
"2017-1005","Crow Wing","Upper South Long",18009600,2021,"CLP","Aquathol K",2021-05-19,2021-05-19,7.8
"2017-1005","Crow Wing","Upper South Long",18009600,2022,"CLP","Aquathol K",2022-06-01,2022-06-01,4.4
"2017-1027","Anoka","George",2009100,2020,"CLP","Dibrox",2020-05-11,2020-05-11,46.9
"2017-1027","Anoka","George",2009100,2021,"CLP","Dibrox",2021-05-24,2021-05-24,28.33
"2017-1028","Anoka","George",2009100,2022,"EWM","Tribune",2022-05-27,2022-05-27,37.65
"2017-1028","Anoka","George",2009100,2024,"EWM","Dibrox",2024-05-20,2024-05-20,37.1
"2017-1028","Anoka","George",2009100,2025,"EWM","Diquat Herbicide",2025-05-14,2025-05-14,32.23
"2017-1032","Wright","Charlotte",86001100,2023,"EWM","ProcellaCOR EC",2023-06-28,2023-06-28,11
"2017-1034","Wright","Granite",86021700,2020,"EWM","ProcellaCOR EC",2020-07-09,2020-07-09,6.9
"2017-1034","Wright","Granite",86021700,2025,"EWM","ProcellaCOR EC",2025-09-22,2025-09-22,6.5
"2017-1036","Stearns","Marie",73001400,2022,"CLP","Aquathol K",2022-05-26,2022-05-26,14.3
"2017-1037","Hennepin","Minnetonka",27013303,2020,"CLP","Tribune",2020-05-15,2020-05-15,4.8
"2017-1037","Hennepin","Minnetonka",27013303,2021,"CLP","Tribune",2021-05-24,2021-05-24,14.1
"2017-1037","Hennepin","Minnetonka",27013303,2022,"CLP","Tribune",2022-06-01,2022-06-01,23.4
"2017-1038","Hennepin","Minnetonka",27013303,2020,"EWM","Kammo Plus",2020-07-10,2020-07-10,4.95
"2017-1038","Hennepin","Minnetonka",27013303,2021,"EWM","ProcellaCOR",2021-06-29,2021-06-29,10.5
"2017-1038","Hennepin","Minnetonka",27013303,2022,"EWM","Tribune",2022-08-09,2022-08-09,12
"2017-1038","Hennepin","Minnetonka",27013303,2025,"CLP","Sonar A.S.",2025-04-29,2025-04-29,115
"2017-1039","Hennepin","Minnetonka",27013301,2020,"EWM","ProcellaCOR EC",2020-07-08,2020-07-08,33.25
"2017-1039","Hennepin","Minnetonka",27013301,2021,"EWM","ProcellaCOR",2021-06-29,2021-06-29,22.98
"2017-1041","Hennepin","Minnetonka",27013300,2021,"EWM","ProcellaCOR EC",2021-06-18,2021-06-18,11.6
"2017-1041","Hennepin","Minnetonka",27013305,2022,"EWM","ProcellaCOR EC",2022-07-01,2022-07-01,12
"2017-1042","Hennepin","Minnetonka",27013304,2020,"CLP","Tribune",2020-05-29,2020-05-29,12.7
"2017-1042","Hennepin","Minnetonka",27013304,2021,"CLP","Tribune",2021-05-26,2021-05-26,28.2
