"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size"
"2018-0395","Wright","Limestone",86016300,2022,"CLP","Aquathol K",2022-05-23,2022-05-23,7.9
"2018-0408","Crow Wing","Serpent",18009000,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,1.9
"2018-0408","Crow Wing","Serpent",18009000,2021,"CLP","Aquathol K",2021-05-17,2021-05-17,5
"2018-0408","Crow Wing","Serpent",18009000,2022,"CLP","Aquathol K",2022-06-01,2022-06-01,13.7
"2018-0543","Morrison","Fish Trap",49013700,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,9.24
"2018-0543","Morrison","Fish Trap",49013700,2022,"CLP","Aquathol K",2022-06-06,2022-06-06,40.5
"2018-0543","Morrison","Fish Trap",49013700,2024,"CLP","Aquathol K",2024-05-08,2024-05-08,39
"2018-0544","Wright","Pleasant",86025100,2020,"CLP","Tribune",2020-05-12,2020-05-12,15
"2018-0611","Otter Tail","Big Pine",56013000,2022,"CLP","Aquathol K",2023-05-30,2023-05-30,65
"2018-0668","Stearns","Grand",73005500,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,32.3
"2018-0668","Stearns","Grand",73005500,2021,"CLP","Aquathol K",2021-05-07,2021-05-07,32.41
"2018-0668","Stearns","Grand",73005500,2023,"CLP","Aquathol K",2023-05-20,2023-05-20,29.9
"2018-0668","Stearns","Grand",73005500,2024,"CLP","Aquathol K",2024-04-24,2024-04-24,33
"2018-0670","Sherburne","Briggs",71014600,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,32
"2018-0670","Sherburne","Briggs",71014600,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,32.25
"2018-0670","Sherburne","Briggs",71014600,2023,"CLP","Aquathol K",2023-05-23,2023-05-23,25.3
"2018-0670","Sherburne","Briggs",71014600,2025,"CLP","FlumigardSC",2025-04-30,2025-04-30,27.8
"2018-0672","Sherburne","Julia",71014500,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,8
"2018-0672","Sherburne","Julia",71014500,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,10.5
"2018-0672","Sherburne","Julia",71014500,2022,"CLP","Aquathol K",2022-05-26,2022-05-26,3.7
"2018-0728","Sherburne","Orono",71001300,2022,"CLP","Aquathol K",2022-06-03,2022-06-03,30.87
"2018-0750","Wright","Cedar",86022700,2022,"CLP","Tribune",2022-05-23,2022-05-23,7.6
"2018-0750","Wright","Cedar",86022700,2022,"EWM","Tribune",2022-05-23,2022-05-23,7.6
"2018-0787","Rice","Roberds",66001800,2020,"CLP","Aquathol K",2020-05-04,2020-05-04,20
"2018-0787","Rice","Roberds",66001800,2022,"CLP","Aquathol K",2022-05-23,2022-05-23,20
"2018-0833","Kanabec","Ann",33004000,2024,"CLP","Aquathol K",2024-05-05,2024-05-05,11
"2018-0834","Crow Wing","North Long",18037200,2021,"CLP","Aquathol K",2021-05-17,2021-05-17,9.7
"2018-0849","Stearns","North Brown",73014700,2020,"CLP","Cygnet Plus",2020-05-22,2020-05-22,18
"2018-0849","Stearns","North Brown's",73014700,2021,"CLP","Aquathol K",2021-05-24,2021-05-24,18
"2018-0881","Cass","Norway",11030700,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,12.2
"2018-0881","Cass","Norway",11030700,2021,"CLP","Aquathol K",2021-05-27,2021-05-27,7.1
"2018-0898","Isanti","Blue",30010700,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,15.76
"2018-0898","Isanti","Blue",30010700,2021,"CLP","Diquat Herbicide",2021-05-17,2021-05-17,16
"2018-0898","Isanti","Blue",30010700,2023,"CLP","Tribune",2023-05-23,2023-05-23,16
"2018-0910","Wright","Constance",86005100,2024,"CLP","Tribune",2024-04-29,2024-04-29,8.2
"2018-0912","Wright","Bass",86023400,2020,"CLP","Aquathol K",2020-05-20,2020-05-20,6.06
"2018-0912","Wright","Bass",86023400,2021,"CLP","Aquathol K",2021-05-19,2021-05-19,11.4
"2018-0912","Wright","Bass",86023400,2022,"CLP","Aquathol K",2022-05-19,2022-05-19,2.5
"2018-1014","Blue Earth","Duck",7005300,2020,"CLP","Dibrox",2020-05-06,2020-05-06,23.7
"2018-1015","Isanti","Green",30013600,2020,"CLP","Dibrox",2020-05-20,2020-05-20,50.5
"2018-1016","Isanti","Long",30007200,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,7.8
"2018-1041","Hennepin","Minnetonka",27013300,2020,"EWM","ProcellaCOR EC",2020-07-15,2020-07-15,6.65
"2018-1044","Chisago","West Rush",13006902,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,24.69
"2018-1045","Chisago","East Rush",13006901,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,24.53
"2018-1045","Chisago","East Rush",13006901,2023,"CLP","Semera",2023-05-31,2023-05-31,37.95
"2018-1045","Chisago","Rush",13006901,2020,"CLP","Aquathol K",2020-05-12,2020-05-12,39.58
"2018-1087","Becker","Upper Cormorant",3058800,2021,"CLP","Aquathol K",2021-05-28,2021-05-28,30
"2018-1097","Stearns","Big Watab",73010200,2021,"CLP","Aquathol K",2021-05-06,2021-05-06,1
"2018-1132","Chisago","Chisago",13001200,2022,"CLP","Aquathol K",2022-05-23,2022-05-23,11
"2018-1159","Kanabec","Fish",33003600,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,16
"2018-1159","Kanabec","Fish",33003600,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,23
"2018-1159","Kanabec","Fish",33003600,2023,"CLP","Aquathol K",2023-05-21,2023-05-21,17.2
"2018-1159","Kanabec","Fish",33003600,2024,"CLP","Aquathol K",2024-05-05,2024-05-05,16
"2018-1228","Sherburne","Eagle",71006700,2020,"CLP","Aquathol K",2020-05-16,2020-05-16,46.5
"2018-1380","Wright","Beebe",86002300,2022,"EWM","Tribune",2022-07-16,2022-07-16,3.7
"2018-1459","Chisago","Goose",13008300,2023,"EWM","2,4-D Amine",2023-07-06,2023-07-07,51.1
"2018-1459","Chisago","Goose",13008300,2025,"EWM","Weedar 64",2025-07-10,2025-07-10,51.1
"2018-1459","Chisago","Goose",13008302,2024,"EWM","2,4-D Amine",2024-07-08,2024-07-08,51.1
"2018-1512","Hennepin","Weaver",27011700,2020,"CLP","Tribune",2020-05-19,2020-05-19,9.9
"2018-1512","Hennepin","Weaver",27011700,2022,"CLP","Aquathol K",2022-06-01,2022-06-01,10.1
"2018-1664","Wright","West Sylvia",86027900,2020,"CLP","Aquathol K",2020-05-19,2020-05-19,1.3
"2018-1664","Wright","West Sylvia",86027900,2023,"CLP","Aquathol K",2023-05-26,2023-05-26,3.57
"2018-1864","Becker","Muskrat",3036000,2021,"CLP","Tribune",2021-05-26,2021-05-26,8.9
"2018-2165","Wright","West Sylvia",86027900,2023,"EWM","Platoon",2023-08-25,2023-08-25,1.79
"2018-2174","Wright","Maple",86013400,2020,"EWM","ProcellaCOR EC",2020-06-23,2020-06-23,23.5
"2018-2174","Wright","Maple",86013400,2021,"EWM","ProcellaCOR EC",2021-07-20,2021-07-20,38.9
"2018-2398","Cass","Townline",NA,2022,"EWM",NA,2022-08-25,2022-08-25,1
"2018-2661","Morrison","Shamineau",49012700,2021,"EWM","ProcellaCOR",2021-09-22,2021-09-22,14
"2018-2938","Wright","Granite",86021700,2020,"FR","Cide-Kick 2.5 Gal",2020-07-09,2020-07-09,0.1
"2018-3528","Anoka","Crooked",2008400,2021,"EWM","ProcellaCOR",2021-09-27,2021-09-27,11.3
"2018-3528","Anoka","Crooked",2008400,2024,"EWM","Sonar A.S.",2024-04-11,2024-05-22,230
"2019-0017","Crow Wing","Emily",18020300,2020,"EWM","ProcellaCOR EC",2020-10-02,2020-10-02,11.3
"2019-0018","Crow Wing","Mary",18018500,2020,"EWM","ProcellaCOR",2020-10-02,2020-10-02,4.3
"2019-0027","Le Sueur","Washington",40011700,2020,"CLP","Aquathol K",2020-05-06,2020-05-06,80.7
"2019-0027","Le Sueur","Washington",40011700,2021,"CLP","Aquathol K",2021-05-11,2021-05-11,80.7
"2019-0039","Kandiyohi","Henderson",34011600,2020,"EWM","ProcellaCOR EC",2020-07-10,2020-07-10,3.1
"2019-0258","Otter Tail","Lida",56074702,2022,"CLP","Aquathol K",2022-06-02,2022-06-02,5.5
"2019-0258","Otter Tail","South Lida",56074702,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,17.5
"2019-0258","Otter Tail","South Lida",56074702,2021,"CLP","Aquathol K",2021-06-03,2021-06-03,13
"2019-0258","Otter Tail","South Lida",56074702,2025,"CLP","FlumigardSC",2025-05-22,2025-05-22,22.4
"2019-0627","Morrison","Crookneck",49013300,2020,"EWM","ProcellaCOR EC",2020-10-08,2020-10-08,0.86
"2019-0880","Scott","Cleary",70002200,2020,"CLP","Sonar A.S.",2020-04-14,2020-05-06,290
"2019-0880","Scott","Cleary",70002200,2021,"CLP","Sonar A.S.",2021-04-07,2021-04-07,145
"2019-0880","Scott","Cleary",70002200,2022,"CLP","Sonar A.S.",2022-04-20,2022-04-20,145
"2019-1039","Otter Tail","Long",56078400,2021,"CLP","Tribune",2021-05-26,2021-05-26,6
"2019-1061","Scott","Upper Prior",70007200,2022,"CLP","Tribune",2022-05-19,2022-05-19,7.28
"2019-1068","Morrison","Green Prairie Fish",49003500,2024,"CLP","Aquathol K",2024-04-30,2024-04-30,5.5
"2019-1068","Morrison","Green Prairie Fish",49003500,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,5.81
"2019-1137","Dakota","Rogers",19008000,2021,"CLP","Tribune",2021-05-25,2021-05-25,14
"2019-1303","Washington","Shields",82016200,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,3.54
"2019-1303","Washington","Shields",82016200,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,3.18
"2019-1303","Washington","Shields",82016200,2022,"CLP","Aquathol K",2022-05-27,2022-05-27,3.27
"2019-1328","Washington","Long",82011800,2020,"EWM","ProcellaCOR EC",2020-05-21,2020-05-21,8.32
"2019-1460","Chisago","Moody",13002300,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,3.11
"2019-1554","Ramsey","Josephine",62005700,2022,"CLP","Galleon SC",2022-05-24,2022-05-24,10
"2019-1554","Ramsey","Josephine",62005700,2024,"CLP","Flumigard SC",2024-04-15,2024-04-15,8.15
"2019-1617","Hennepin","Minnetonka",27013300,2020,"CLP","Tribune",2020-05-15,2020-05-15,18.9
"2019-1617","Hennepin","Minnetonka",27013300,2020,"EWM","Kammo Plus",2020-07-10,2020-07-10,3.49
"2019-1617","Hennepin","Minnetonka",27013300,2025,"CLP","Tribune",2025-05-06,2025-05-06,45.9
"2019-1846","Becker","Curfman",3036300,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,7.9
"2019-1846","Becker","Curfman",3036300,2022,"CLP","Aquathol K",2022-06-03,2022-06-03,7.2
"2019-2082","Chisago","Comfort",13005300,2022,"EWM","Sonar A.S.",2022-06-22,2022-07-28,436
"2019-2135","Crow Wing","Upper South Long",18009600,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,4.7
"2019-2135","Crow Wing","Upper South Long",18009600,2020,"EWM","Aquathol K",2020-07-22,2020-07-22,8.3
"2019-2135","Crow Wing","Upper South Long",18009600,2022,"EWM","ProcellaCOR EC",2022-10-04,2022-10-04,1.9
"2019-2394","Wright","Waverly",86011400,2020,"EWM","2,4-D Amine",2020-08-04,2020-08-04,9.9
"2019-2394","Wright","Waverly",86011400,2021,"EWM","Platoon",2021-08-13,2021-08-13,13.2
"2019-2512","Meeker","Erie",47006400,2022,"EWM","ProcellaCOR EC",2022-07-27,2022-07-27,10
"2019-3016","Isanti","Francis",30008000,2021,"EWM","ProcellaCOR EC",2021-08-25,2021-08-25,3.08
"2019-3016","Le Sueur","Frances",40005700,2023,"EWM","2,4-D Amine",2023-08-24,2023-08-24,11
"2019-3106","Crow Wing","White Sand",18037900,2022,"EWM","ProcellaCOR EC",2022-08-04,2022-08-04,3.1
"2019-3248","Isanti","Fannie",30004300,2020,"EWM","2,4-D Amine",2020-08-10,2020-08-10,3.2
"2019-3431","Douglas","Darling",21008000,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,9
"2019-3431","Douglas","Darling",21008000,2022,"CLP","Tribune",2022-06-03,2022-06-03,26
"2020-0043","Anoka","Coon",2004200,2020,"CLP","Tribune",2020-05-13,2020-05-13,29.11
"2020-0043","Anoka","Coon",2004200,2021,"CLP","Tribune",2021-05-05,2021-05-05,26.2
"2020-0108","Meeker","Jennie",47001500,2020,"CLP","Aquathol K",2020-06-02,2020-06-02,18
"2020-0120","Stearns","Knaus",73008600,2024,"CLP","Schooner 51.0% WDG",2024-04-30,2024-04-30,11
"2020-0139","Crow Wing","Lower Cullen",18040300,2020,"CLP","Aquathol K",2020-05-19,2020-05-19,22.05
"2020-0139","Crow Wing","Lower Cullen",18040300,2025,"CLP","FlumigardSC",2025-05-14,2025-05-14,8.6
"2020-0140","Crow Wing","Middle Cullen",18015500,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,5.5
"2020-0140","Crow Wing","Middle Cullen",18037700,2020,"CLP","Aquathol K",2020-05-18,2020-05-19,9.37
"2020-0140","Crow Wing","Middle Cullen",18037700,2020,"CLP","Aquathol Super K",2020-05-19,2020-05-19,3.8
"2020-0140","Crow Wing","Middle Cullen",18037700,2021,"CLP","Aquathol K",2021-05-19,2021-05-19,5.5
"2020-0140","Crow Wing","Middle Cullen",18037700,2025,"CLP","FlumigardSC",2025-05-14,2025-05-14,3.6
"2020-0141","Crow Wing","Upper Cullen",18037600,2020,"CLP","Aquathol K",2020-05-18,2020-05-18,10.81
"2020-0141","Crow Wing","Upper Cullen",18037600,2021,"CLP","Aquathol K",2021-05-19,2021-05-19,7.7
"2020-0141","Crow Wing","Upper Cullen",18037600,2022,"CLP","Aquathol K",2022-05-26,2022-05-26,12.8
"2020-0141","Crow Wing","Upper Cullen",18037600,2025,"CLP","FlumigardSC",2025-05-14,2025-05-14,8.6
"2020-0145","Ramsey","Keller",62001002,2022,"CLP","Tribune",2022-06-07,2022-10-26,11.9
"2020-0147","Ramsey","Gervais",62000700,2022,"CLP","Tribune",2022-06-07,2022-06-07,5.8
"2020-0148","Ramsey","Kohlman",62000600,2022,"CLP","Tribune",2022-06-07,2022-10-26,15.9
"2020-0172","Wright","Clearwater",86025200,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,27.3
"2020-0172","Wright","Clearwater",86025200,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,23.51
"2020-0177","Crow Wing","Clearwater",18003800,2020,"EWM","ProcellaCOR EC",2020-10-07,2020-10-07,36.4
"2020-0177","Crow Wing","Clearwater",18003800,2021,"EWM","ProcellaCOR EC",2021-09-30,2021-09-30,0.54
"2020-0181","Anoka","Rice",2000800,2020,"CLP","Dibrox",2020-05-19,2020-05-19,23
"2020-0181","Anoka","Rice",2000800,2021,"CLP","Dibrox",2021-05-10,2021-05-10,23
"2020-0181","Anoka","Rice",2000800,2022,"CLP","Tribune",2022-05-27,2022-05-27,28.7
"2020-0185","Crow Wing","South Long",18013600,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,7
"2020-0185","Crow Wing","South Long",18013600,2021,"CLP","Aquathol K",2021-05-22,2021-05-22,28
"2020-0191","Anoka","Rice",2000800,2025,"CLP","Diquat Herbicide",2025-05-09,2025-05-09,30
"2020-0208","Itasca","McKinney",31037000,2020,"EWM","2,4-D Amine",2020-09-18,2020-09-18,10
"2020-0208","Itasca","McKinney",31037000,2022,"EWM","Captain",2022-09-12,2022-09-12,14.63
"2020-0211","Hennepin","Minnetonka",27013300,2020,"EWM","Kammo Plus",2020-07-13,2020-07-13,21.29
"2020-0211","Hennepin","Minnetonka",27013300,2021,"EWM","ProcellaCOR EC",2021-06-26,2021-07-16,12
"2020-0211","Hennepin","Minnetonka",27013305,2022,"EWM","ProcellaCOR EC",2022-07-25,2022-07-25,4
"2020-0212","Winona","Winona",85001100,2020,"CLP","Aquathol K",2020-05-27,2020-05-27,11.85
"2020-0903","Anoka","Centerville",2000600,2021,"CLP","Tribune",2021-05-12,2021-05-12,40.64
"2020-0903","Anoka","Centerville",2000600,2022,"CLP","Diquat Herbicide",2022-05-17,2022-05-17,40.76
"2020-0903","Anoka","Centerville",2000600,2022,"CLP","Tribune",2023-05-16,2023-05-16,40.81
"2020-0903","Anoka","Centerville",2000600,2024,"CLP","Diquat Herbicide",2024-04-15,2024-04-15,42.49
"2020-0924","Todd","Little Birch",77008900,2025,"CLP","FlumigardSC",2025-05-13,2025-05-13,2.7
"2020-1556","Carver","Oak",10009300,2021,"EWM","Tribune",2021-05-13,2021-05-13,24.9
"2020-1556","Carver","Oak",10009300,2025,"EWM","Sonar A.S.",2025-04-16,2025-05-08,740
"2020-2645","Stearns","Lower Spunk",73012300,2020,"EWM","2,4-D Amine",2020-08-20,2020-08-20,9.9
"2020-2645","Stearns","Lower Spunk",73012300,2021,"EWM","Platoon",2021-08-09,2021-08-09,5.18
"2020-3342","Isanti","Florence",30003500,2021,"CLP","Dibrox",2021-05-06,2021-05-06,15.6
"2020-3342","Isanti","Florence",30003500,2022,"CLP","Tribune",2022-05-23,2022-05-23,15
"2020-3343","Isanti","Elms",30003600,2021,"CLP","Dibrox",2021-05-06,2021-05-06,4.59
"2020-3343","Isanti","Elms",30003600,2024,"CLP","Diquat Herbicide",2024-04-29,2024-04-29,5
"2021-0006","Douglas","Irene",21007600,2022,"CLP","Galleon SC",2022-05-24,2022-05-24,164
"2021-0081","Wright","Wilhelm",86002000,2022,"CLP","Aquathol K",2022-05-17,2022-05-17,10.64
"2021-0100","Wright","Dean",86004100,2021,"CLP","Aquathol K",2021-04-28,2021-04-28,9.6
"2021-0100","Wright","Dean",86004100,2021,"CLP","Tribune",2021-05-02,2021-05-02,6
"2021-0311","Renville","Allie",65000600,2021,"CLP","Aquathol K",2021-05-05,2023-05-16,12.162
"2021-0312","Renville","Preston",65000200,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,13
"2021-0312","Renville","Preston",65000200,2022,"CLP","Aquathol K",2022-05-23,2022-05-23,8
"2021-0371","Hennepin","Twin",27004203,2021,"EWM","Captain",2021-07-22,2021-07-22,1.72
"2021-0388","Meeker","Minnie-Belle",47011900,2021,"CLP","Aquathol K",2021-05-11,2021-05-11,3.5
"2021-0389","Meeker","Minnie-Belle",47011900,2022,"EWM","ProcellaCOR EC",2022-07-29,2022-07-29,41.2
"2021-0413","Dakota","Byllesby",19000600,2022,"CLP","Tribune",2022-06-01,2022-06-01,65.26
"2021-0413","Dakota","Byllesby",19000600,2023,"CLP","Tribune",2023-05-31,2023-05-31,30.23
"2021-0413","Dakota","Byllesby",19000600,2025,"CLP","FlumigardSC",2025-05-30,2025-05-30,29.06
"2021-0430","Hennepin","Teal",NA,2021,"CLP","Tribune",2021-05-14,2021-05-14,1.28
"2021-0437","Meeker","Jennie",47001500,2021,"CLP","Diquat SPC 2 L",2021-05-19,2021-05-19,115
"2021-0451","Todd","Osakis",77021500,2021,"CLP","Aquathol K",2021-05-28,2021-05-28,33.56
"2021-0460","Sherburne","Elk",71014100,2022,"EWM","ProcellaCOR",2022-07-15,NA,10.4
"2021-0465","Ramsey","Johanna",62007800,2021,"CLP","Tribune",2021-05-12,2021-05-12,12.3
"2021-0466","Stearns","Rice",73019600,2021,"CLP","Aquathol K",2021-05-13,2021-05-13,2
"2021-0466","Stearns","Rice",73019600,2021,"CLP","Tribune",2021-05-13,2021-05-13,5.8
"2021-0466","Stearns","Rice",73019600,2022,"CLP","Aquathol K",2022-05-23,2022-05-23,16.4
"2021-0483","Wright","Martha",86000900,2021,"CLP","Aquathol K",2021-04-28,2021-04-28,8
"2021-0483","Wright","Martha",86000900,2022,"CLP","Aquathol K",2022-05-11,2022-05-11,10
"2021-0484","Waseca","Clear",81001401,2021,"EWM","2,4-D Amine",2021-06-22,2021-06-22,56.8
"2021-1320","Blue Earth","Ballantyne",7005400,2021,"EWM","2,4-D Amine",2021-07-05,2021-07-05,27.8
"2021-1772","Hennepin","Minnetonka",27013301,2021,"CLP","Tribune",2021-05-24,2021-05-24,18.26
"2021-1772","Hennepin","Minnetonka",27013301,2025,"CLP","Tribune",2025-05-13,2025-05-13,27
"2021-2453","Crow Wing","Crooked",18004100,2023,"EWM","ProcellaCOR EC",2023-10-10,2023-10-10,1.8
"2021-2453","Crow Wing","Crooked",18004100,2025,"EWM","ProcellaCOR EC",2025-09-17,2025-09-17,1.17
"2021-3343","Scott","Spring",70005400,2022,"EWM","ProcellaCOR",2022-08-19,2022-08-19,5.05
"2021-3343","Scott","Spring",70005400,2022,"EWM","ProcellaCOR EC",2022-06-17,2022-06-17,14.05
"2022-0173","Chisago","Kroon",13001300,2022,"EWM","Weedar 64",2022-06-22,2022-06-22,12.94
"2022-0173","Chisago","Kroon",13001300,2024,"EWM","Weedar 64",2024-06-03,2024-06-03,20.1
"2022-0175","Chisago","Chisago",13001200,2022,"CLP","Weedar 64",2022-06-22,2022-06-22,11.95
"2022-0175","Chisago","Chisago",13001200,2024,"EWM","Weedar 64",2024-06-24,2024-06-24,88.8
"2022-0176","Rice","Circle",66002700,2022,"CLP","Aquathol K",2022-05-18,2022-05-18,17.2
"2022-0180","Le Sueur","German",40006300,2022,"CLP","Aquathol K",2022-05-24,2022-05-24,22.5
"2022-0242","Wadena","Blueberry",80003400,2022,"CLP","Galleon SC",2022-06-10,2022-06-10,25
"2022-0248","Waseca","Clear",81001401,2022,"EWM","Sonar A.S.",2022-06-14,2022-07-18,1296
"2022-0315","Crow Wing","Edward",18030500,2022,"CLP","Aquathol K",2022-06-01,2022-06-01,16
"2022-0318","Washington","Colby",82009400,2022,"CLP","Sonar A.S.",2022-10-05,2022-11-02,141.88
"2022-0321","Washington","Markgrafs",82008900,2022,"CLP","Tribune",2023-05-11,2023-05-11,6.89
"2022-0322","Washington","Ravine",82008700,2022,"CLP","Sonar A.S.",2022-10-05,2023-04-25,81.36
"2022-0338","Douglas","Lobster",21014400,2022,"CLP","Tribune",2022-06-15,2022-06-15,6.4
"2022-0338","Douglas","Lobster",21014400,2025,"CLP","Diquat Herbicide",2025-05-25,2025-05-25,5.6
"2022-0347","Hennepin","Minnetonka",27013305,2022,"CLP","Tribune",2022-06-01,2022-06-01,30.13
"2022-0350","Hennepin","Minnetonka",27013302,2022,"EWM","Tribune",2022-06-01,2022-06-01,52.3
"2022-0385","Hennepin","Staring",27007800,2022,"CLP","Sonar A.S.",2022-05-11,2022-06-10,195
"2022-0400","Anoka","Peltier",2000400,2022,"CLP","Diquat Herbicide",2022-05-17,2022-05-17,36.51
"2022-1398","Rice","French",66003800,2022,"EWM","2,4-D Amine",2022-07-25,2022-07-25,10.97
"2022-1832","Faribault","Bass",22007400,2023,"CLP","Semera",2023-05-26,2023-05-26,6.67
"2022-1832","Faribault","Bass",22007400,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,17.3
"2022-1986","Ramsey","Owasso",62005600,2024,"CLP","Sonar A.S.",2024-03-21,2024-08-14,1499.6
"2022-1986","Ramsey","Owasso",62005600,2025,"EWM","Triclopyr 3",2025-08-11,2025-08-11,8.95
"2022-2614","Crow Wing","Hanks",18004400,2023,"EWM","ProcellaCOR EC",2023-10-11,2023-10-11,0.5
"2022-2615","Crow Wing","Portage",18005000,2023,"EWM","ProcellaCOR EC",2023-10-10,2023-10-10,1.5
"2023-0167","Meeker","Jennie",47001500,2024,"CLP","Aquathol K",2024-05-09,2024-05-09,32.2
"2023-0301","Douglas","Andrew",21008500,2024,"CLP","Semera",2024-05-08,2024-05-08,39.8
"2023-0301","Douglas","Andrew",21008500,2025,"CLP","Flumigard",2025-05-22,2025-05-22,32.3
"2023-0381","Chisago","Rabour",13007900,2023,"EWM","ProcellaCOR EC",2023-07-27,2023-07-27,1.9
"2023-0468","Waseca","Clear",81001401,2023,"CLP","Aquathol K",2023-05-09,2023-05-09,74.4
"2023-1190","Chisago","Mandall",13007400,2023,"EWM","ProcellaCOR EC",2023-07-24,2023-07-24,0.5
"2023-1190","Chisago","Mandall",13007400,2025,"EWM","ProcellaCOR EC",2025-07-10,2025-07-10,0.5
"2023-2342","Kandiyohi","Long",34006600,2024,"SSW","Komeen Descend",2024-08-07,2024-10-01,1.02
"2023-2655","Hubbard","Long",29016100,2024,"SSW","Hydrothol 191",2024-08-06,2024-08-06,0.5
"2023-2655","Hubbard","Long",29016100,2024,"SSW","Komeen Descend",2024-10-02,2025-06-20,0.75
"2023-2720","Wright","Clearwater",86025200,2024,"SSW","Mizzen",2024-07-26,2024-10-10,17.6
"2024-0112","Kandiyohi","Norway",34025100,2025,"CLP","FlumigardSC",2025-04-29,2025-04-29,15.6
"2024-0113","Kandiyohi","Games",34022400,2025,"CLP","FlumigardSC",2025-04-29,2025-04-29,28.3
"2024-0169","Hennepin","Holiday",27009000,2025,"CLP","Galleon SC",2025-04-30,2025-04-30,4.2
"2025-0025","Becker","Island",3015300,2025,"CLP","FlumigardSC",2025-05-07,2025-05-07,6.85
"2025-0088","Douglas","Cowdry",NA,2025,"CLP","FlumigardSC",2025-05-22,2025-05-22,8.4
"2025-0951","Crow Wing","Middle Cullen",18037700,2025,"SSW","Komeen Descend",2025-06-09,2025-06-09,3
"2025-1273","Sherburne","Thompson",71009600,2025,"CLP","Tribune",2025-05-09,2025-05-09,5.09
"2025-1371","Le Sueur","Gorman",40003200,2025,"CLP","Aquathol K",2025-05-02,2025-05-02,36.2
"2025-2868","Dakota","Byllesby",19000600,2025,"FR","Tribune",2025-08-26,2025-08-26,2
NA,"Aitkin","Cedar",1020900,2024,"CLP","Semera",2024-04-29,2024-04-29,0.7
NA,"Anoka","George",2009100,2020,"EWM","Dibrox",2020-05-11,2020-05-11,51.4
NA,"Anoka","George",2009100,2022,"CLP","Tribune",2023-05-31,NA,39.81
NA,"Anoka","George",2009100,2022,"EWM","Tribune",2023-05-31,NA,39.81
NA,"Anoka","George",2009100,2024,"CLP","Dibrox",2024-05-20,2024-05-20,37.1
NA,"Anoka","Rice",2000800,2022,"CLP","Tribune",2023-05-08,2023-05-08,36
NA,"Anoka","Rice",2000800,2024,"CLP","Dibrox",2024-04-09,2024-04-09,13.5
NA,"Becker","Melissa",3047500,2023,"CLP","Semera",2024-05-20,2024-05-20,11.3
NA,"Becker","Sallie",3035900,2024,"CLP","Semera",2024-05-20,2024-05-20,26.2
NA,"Becker","Toad",3010700,2024,"CLP","Diquat Herbicide",2024-05-29,2024-05-29,74.4
NA,"Becker","Upper Cormorant",3058800,2024,"CLP","Semera",2024-05-23,2024-05-23,20.1
NA,"Blue Earth","Duck",7005300,2020,"CLP","Dibrox",2020-05-06,2020-05-06,16.5
NA,"Carver","Lotus",10000600,2024,"CLP","Sonar A.S.",2024-04-29,2024-04-29,245
NA,"Carver","Lotus",10000600,2024,"EWM","Sonar A.S.",2024-04-29,2024-04-29,245
NA,"Carver","Minnewashta",10000900,2024,"CLP","Dibrox",2024-04-10,2024-04-10,42.3
NA,"Carver","Minnewashta",10000900,2024,"EWM","Dibrox",2024-04-10,2024-04-10,42.3
NA,"Chisago","Comfort",13005300,2022,"EWM","Sonar A.S.",2022-09-20,NA,218
NA,"Chisago","Green",13004100,2021,"CLP","Aquathol K",2021-05-11,2021-05-11,42.11
NA,"Chisago","Green",13004100,2021,"EWM","Aquathol K",2021-05-11,2021-05-11,42.11
NA,"Chisago","Mandall",13007400,2024,"EWM","ProcellaCOR EC",2024-07-26,2024-07-26,0.5
NA,"Chisago","North Center",13003200,2024,"CLP","Aquathol K",2024-04-24,2024-04-24,21.25
