Permit_number,County_name,Lake_parent_name,k_Lake_ID,App_year,species_code,Pesticide_trade_name,start_date,end_date,treatment_size,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone,TreatmentSize_PercentofLake,TreatmentSize_PercentofLittoral
2017-1047,Hennepin,Minnetonka,27013310,2022,EWM,ProcellaCOR,7/26/2022,7/26/2022,52.9,Minnetonka-Crystal Bay,317.357,38.9,317.36,317.36,38.9,15,16.6689249,16.66876733
2017-1050,Lincoln,Benton,41004300,2020,CLP,Sonar A.S.,5/14/2020,5/14/2020,1034,Benton,2649.413,100,2649.41,279.36,10.54,5,39.02751289,370.1317297
2017-1050,Lincoln,Benton,41004300,2021,CLP,Sonar A.S.,4/14/2021,4/14/2021,1034,Benton,2649.413,100,2649.41,279.36,10.54,5,39.02751289,370.1317297
2017-1072,Crow Wing,Platte,18008800,2020,CLP,Aquathol K,5/20/2020,5/20/2020,43.2,Platte,1615.908,94.32,1615.91,1615.91,94.32,15,2.673419526,2.673416217
2017-1072,Crow Wing,Platte,18008800,2021,CLP,Aquathol K,5/21/2021,5/21/2021,42.3,Platte,1615.908,94.32,1615.91,1615.91,94.32,15,2.617723286,2.617720046
2017-1083,Anoka,Coon,2004200,2021,CLP,Tribune,5/5/2021,5/5/2021,9.2,Coon,1331.965,89.92,1331.96,1283.59,86.66,12,0.69070884,0.716739769
2017-1092,Anoka,Coon,2004200,2021,EWM,ProcellaCOR EC,7/12/2021,7/12/2021,22.83,Coon,1331.965,89.92,1331.96,1283.59,86.66,12,1.714009002,1.778605318
2017-1092,Anoka,Coon,2004200,2022,EWM,ProcellaCOR EC,7/22/2022,7/22/2022,40.3,Coon,1331.965,89.92,1331.96,1283.59,86.66,12,3.025605027,3.139631814
2017-1097,Carver,Minnewashta,10000900,2020,CLP,Dibrox,5/19/2020,5/19/2020,36.6,Minnewashta,337.891,50.21,337.89,330.74,49.15,14,10.83189549,11.06609421
2017-1097,Carver,Minnewashta,10000900,2021,CLP,Dibrox,5/18/2021,5/18/2021,41.1,Minnewashta,337.891,50.21,337.89,330.74,49.15,14,12.16368592,12.42667957
2017-1154,Ramsey,Bald Eagle,62000200,2020,CLP,Diquat Herbicide,5/4/2020,5/4/2020,72.6,Bald Eagle,589.063,56.13,589.06,211.86,20.19,6,12.32465797,34.26791277
2017-1154,Ramsey,Bald Eagle,62000200,2022,CLP,Tribune,5/16/2023,5/16/2023,68.93,Bald Eagle,589.063,56.13,589.06,211.86,20.19,6,11.70163463,32.53563674
2017-1210,Washington,Big Marine,82005200,2020,EWM,ProcellaCOR EC,7/16/2020,7/16/2020,3.76,Big Marine,1180.442,69.79,1180.44,1278.62,75.59,18.5,0.318524756,0.294067041
2017-1210,Washington,Big Marine,82005200,2022,EWM,ProcellaCOR,8/4/2022,8/4/2022,5.18,Big Marine,1180.442,69.79,1180.44,1278.62,75.59,18.5,0.43881868,0.405124275
2017-1297,Dakota,Farquar,19002300,2021,CLP,Aquathol K,5/5/2021,5/5/2021,10,Farquar,63.581,100,63.58,63.58,100,15,15.72796905,15.72821642
2017-1297,Dakota,Farquar,19002300,2022,CLP,Aquathol K,5/10/2022,5/10/2022,9.27,Farquar,63.581,100,63.58,63.58,100,15,14.57982731,14.58005662
2017-1306,Rice,Cedar,66005200,2020,CLP,Aquathol K,5/11/2020,5/11/2020,24.5,Cedar,667.272,75.35,667.27,238.02,26.88,4,3.671666127,10.29325267
2017-1306,Rice,Cedar,66005200,2021,CLP,Aquathol K,5/12/2021,5/12/2021,18.8,Cedar,667.272,75.35,667.27,238.02,26.88,4,2.817441763,7.898495925
2017-1306,Rice,Cedar,66005200,2022,CLP,Aquathol K,5/10/2022,5/10/2022,35,Cedar,667.272,75.35,667.27,238.02,26.88,4,5.245237325,14.70464667
2017-1306,Rice,Cedar,66005200,2023,CLP,Aquathol K,5/11/2023,5/11/2023,50,Cedar,667.272,75.35,667.27,238.02,26.88,4,7.493196178,21.0066381
2017-1307,Waseca,Clear,81001401,2020,CLP,Aquathol K,5/6/2020,5/6/2020,30,Clear,563.674,86.89,563.67,215.16,33.16,8,5.322225258,13.9431121
2017-1312,Becker,Sallie,3035900,2022,FR,Tribune,6/28/2022,8/1/2022,62.2,Sallie,576.81,45.32,576.81,737.81,57.96,21,10.78344689,8.430354698
2017-1313,Becker,Melissa,3047500,2021,FR,Tribune,6/28/2021,6/28/2021,24,Melissa,899.472,48.59,899.47,1192.62,64.43,22,2.668232029,2.012376113
2017-1367,Wright,East Sylvia,86028900,2023,EWM,Platoon,8/25/2023,8/25/2023,3.06,East Lake Sylvia,209.542,31.34,209.54,259.53,38.82,24,1.460327762,1.179054445
2017-1379,Wright,Howard,86019900,2022,EWM,"2,4-D Amine",8/22/2022,8/22/2022,44.4,Howard,317.586,43.16,317.59,209.71,28.5,9,13.98046513,21.1720948
2017-1486,Pope,Minnewaska,61013000,2020,EWM,"2,4-D Amine",8/21/2020,8/21/2020,18.14,Minnewaska,3290.836,40.88,3290.84,3290.84,40.88,15,0.551227712,0.551227042
2017-1486,Pope,Minnewaska,61013000,2021,EWM,"2,4-D Amine",7/16/2021,7/16/2021,16.74,Minnewaska,3290.836,40.88,3290.84,3290.84,40.88,15,0.508685331,0.508684713
2017-1486,Pope,Minnewaska,61013000,2022,EWM,"2,4-D Amine",9/13/2022,9/13/2022,5.27,Minnewaska,3290.836,40.88,3290.84,3290.84,40.88,15,0.160141678,0.160141484
2017-1500,Blue Earth,Ballantyne,7005400,2022,EWM,"2,4-D Amine",6/22/2022,6/22/2022,37.1,Ballantyne,328.587,88.06,328.59,294.31,78.88,9,11.29076926,12.60575584
2017-1500,Blue Earth,Ballantyne,7005400,2023,EWM,"2,4-D Amine",6/27/2023,6/27/2023,10.6,Ballantyne,328.587,88.06,328.59,294.31,78.88,9,3.225934075,3.601644524
2017-1507,Wright,Maple,86013400,2020,CLP,Tribune,5/12/2020,5/12/2020,10.1,Maple,NA,NA,NA,NA,NA,NA,NA,NA
2017-1507,Wright,Maple,86013400,2021,CLP,Tribune,5/11/2021,5/11/2021,10.1,Maple,NA,NA,NA,NA,NA,NA,NA,NA
2017-1512,Carlton,Chub,9000800,2020,EWM,ProcellaCOR EC,7/10/2020,7/10/2020,11,Chub,172.923,55.17,172.92,163.52,52.17,14,6.361212794,6.727005871
2017-1512,Carlton,Chub,9000800,2021,EWM,ProcellaCOR,6/24/2021,6/24/2021,13.2,Chub,172.923,55.17,172.92,163.52,52.17,14,7.633455353,8.072407045
2017-1565,Dakota,Marion,19002600,2021,CLP,Tribune,5/17/2021,5/17/2021,16.46,Marion,417.991,79.27,417.99,406.15,77.02,14,3.93788383,4.052689893
2017-1707,Crow Wing,Mayo,18040800,2022,CLP,Aquathol K,5/19/2022,5/19/2022,9.6,Mayo,156.391,94.55,156.39,146.76,88.73,12,6.138460653,6.541291905
2017-1709,Washington,Bone,82005400,2020,CLP,Aquathol K,5/12/2020,5/12/2020,5.14,Bone,119.403,54.71,119.4,59.26,27.16,6,4.304749462,8.673641579
2017-1709,Washington,Bone,82005400,2021,CLP,Aquathol K,5/26/2021,5/26/2021,4.38,Bone,119.403,54.71,119.4,59.26,27.16,6,3.668249541,7.391157611
2017-1779,Douglas,Smith,21008500,2023,CLP,Aquathol K,5/30/2023,5/30/2023,42.6,Andrew,322.666,35.14,322.67,345.58,37.63,17,13.20250662,12.32710226
2017-1825,Le Sueur,Tetonka,40003100,2020,CLP,Aquathol K,5/15/2020,5/15/2020,58.74,Tetonka,551.224,40.63,551.22,421.08,31.04,10,10.65628492,13.94984326
2017-1825,Le Sueur,Tetonka,40003100,2021,CLP,Aquathol K,5/18/2021,5/18/2021,58.74,Tetonka,551.224,40.63,551.22,421.08,31.04,10,10.65628492,13.94984326
2017-1826,Crow Wing,Grave,18011000,2025,CLP,FlumigardSC,5/5/2025,5/5/2025,5.5,Grave,168.57,100,168.57,100,168.57,15,3.262739515,5.5
2017-1881,Hennepin,Minnetonka,27013300,2020,CLP,Tribune,5/15/2020,5/15/2020,27.3,Minnetonka,6032.044,36.61,6032.04,6032.04,36.61,15,0.452582906,0.452583206
2017-1881,Hennepin,Minnetonka,27013305,2022,CLP,Tribune,6/1/2022,6/1/2022,25,Minnetonka-Upper Lake,1699.304,37.59,1699.3,1699.3,37.59,15,1.471190558,1.471194021
2017-1978,Washington,Jane,82010400,2020,EWM,ProcellaCOR EC,9/18/2020,9/18/2020,6.71,Jane,109.706,71.25,109.71,125.21,81.32,22,6.116347328,5.358996885
2017-1982,Ramsey,Silver,62000100,2020,CLP,Tribune,5/29/2020,5/29/2020,6.52,Silver (East),71.816,98.12,71.82,70.9,96.86,11,9.078756823,9.196050776
2017-1984,Crow Wing,Bay,18003400,2024,EWM,Platoon,10/9/2024,10/9/2024,4.41,Bay,878.981,37.89,878.98,1019.35,43.94,19,0.501717329,0.432628636
2017-1985,Crow Wing,Bay,18003400,2020,EWM,"2,4-D Amine",6/22/2020,10/19/2020,44.74,Bay,878.981,37.89,878.98,1019.35,43.94,19,5.08998488,4.389071467
2017-1985,Crow Wing,Bay,18003400,2021,EWM,"2,4-D Amine",10/11/2021,10/12/2021,83.34,Bay,878.981,37.89,878.98,1019.35,43.94,19,9.481433615,8.175798303
2017-1985,Crow Wing,Bay,18003400,2021,EWM,Dibrox,10/11/2021,10/11/2021,6.5,Bay,878.981,37.89,878.98,1019.35,43.94,19,0.739492663,0.637661255
2017-1985,Crow Wing,Bay,18003400,2021,EWM,Platoon,6/22/2021,6/22/2021,7.288,Bay,878.981,37.89,878.98,1019.35,43.94,19,0.829141927,0.714965419
2017-1985,Crow Wing,Bay,18003400,2022,EWM,"2,4-D Amine",6/27/2022,10/4/2022,48.473,Bay,878.981,37.89,878.98,1019.35,43.94,19,5.514681205,4.755285231
2017-1985,Crow Wing,Bay,18003400,2024,EWM,Platoon,10/8/2024,10/9/2024,33.68,Bay,878.981,37.89,878.98,1019.35,43.94,19,3.831709673,3.304066317
2017-2060,Wright,West Sylvia,86027900,2023,SSW,Cutrine-Plus,7/21/2023,7/21/2023,1.7,West Lake Sylvia,297.099,32.85,297.1,401.98,44.45,25,0.572199839,0.422906612
2017-2067,Washington,Elmo,82010600,2022,EWM,ProcellaCOR EC,6/22/2022,6/22/2022,12,Elmo,66.382,25.85,66.38,72.1,28.08,17,18.0771896,16.64355062
2017-2067,Washington,Elmo,82010600,2023,EWM,ProcellaCOR EC,6/16/2023,6/16/2023,12,Elmo,66.382,25.85,66.38,72.1,28.08,17,18.0771896,16.64355062
2017-2184,Anoka,Crooked,2008400,2020,CLP,Tribune,5/13/2020,5/13/2020,5.9,Crooked,84.017,73.1,84.02,73.19,63.68,12,7.022388326,8.061210548
2017-2184,Anoka,Crooked,2008400,2021,CLP,Tribune,5/18/2021,5/18/2021,1.9,Crooked,84.017,73.1,84.02,73.19,63.68,12,2.261447088,2.595983058
2017-2726,Hennepin,Sarah,27019100,2021,EWM,Tribune,6/22/2021,6/22/2021,29.08,Sarah,557.23,66.94,373,66.94,373,15,5.218670926,43.44188826
2017-2726,Hennepin,Sarah,27019100,2023,EWM,ProcellaCOR EC,10/2/2023,10/2/2023,23.12,Sarah,557.23,66.94,373,66.94,373,15,4.149094629,34.53839259
2017-2726,Hennepin,Sarah,27019100,2023,EWM,Tribune,6/23/2023,6/23/2023,2.8,Sarah,557.23,66.94,373,66.94,373,15,0.502485509,4.182850314
2017-2726,Hennepin,Sarah,27019101,2022,EWM,Tribune,7/1/2022,7/1/2022,8.76,West Sarah,242.6,67.83,242.6,242.6,67.83,15,3.61088211,3.61088211
2017-2765,Le Sueur,Rays,40005600,2021,EWM,"2,4-D Amine",6/8/2021,6/8/2021,21.2,Rays,151.1,89.44,151.1,104.76,62.01,7,14.03044341,20.23673158
2017-2771,Hennepin,Minnetonka,27013301,2020,EWM,Kammo Plus,7/8/2020,7/8/2020,1,Minnetonka-Grays Bay,164.537,87.58,164.54,164.54,87.58,15,0.607766034,0.607754953
2017-2870,Washington,White Bear,82016700,2021,EWM,Triclopyr 3,7/15/2021,7/15/2021,26.67,White Bear,1334.411,53.61,1334.41,1504.4,60.44,18,1.998634604,1.772799787
2017-2870,Washington,White Bear,82016700,2021,EWM,Weedar 64,7/15/2021,7/15/2021,23.85,White Bear,1334.411,53.61,1334.41,1504.4,60.44,18,1.78730541,1.585349641
2017-3015,Carlton,Bear,9003400,2020,EWM,ProcellaCOR EC,9/9/2020,9/9/2020,0.76,Bear,70.075,76.65,70.07,62.45,68.3,13,1.084552265,1.216973579
2017-3315,Ramsey,Turtle,62006100,2020,EWM,ProcellaCOR,7/2/2020,7/2/2020,16.6,Turtle,284.178,63.15,284.18,284.18,63.15,15,5.841409258,5.841368147
2017-3315,Ramsey,Turtle,62006100,2021,EWM,ProcellaCOR,6/30/2021,6/30/2021,29.85,Turtle,284.178,63.15,284.18,284.18,63.15,15,10.5039799,10.50390598
2017-3315,Ramsey,Turtle,62006100,2022,EWM,ProcellaCOR,6/28/2022,6/28/2022,42.6,Turtle,284.178,63.15,284.18,284.18,63.15,15,14.99060448,14.99049898
2017-3409,Washington,Forest,82015900,2020,FR,Tribune,8/6/2020,9/2/2020,11.05,Forest,1561.192,68.75,1561.19,1404.75,61.86,13,0.707792507,0.786616836
2017-365,Meeker,Long,47017700,2022,CLP,Tribune,5/22/2022,5/22/2022,43.62,Long,787.031,100,787.03,787.03,100,15,5.542348395,5.542355438
2017-459,Wright,Beebe,86002300,2020,EWM,"2,4-D Amine",7/31/2020,7/31/2020,4,Beebe,179.487,58.99,179.49,162.18,53.3,12,2.228573657,2.466395363
2017-459,Wright,Silver,86014000,2020,EWM,"2,4-D Amine",7/1/2020,7/1/2020,6,Silver,37.667,45.54,37.67,17.24,20.84,6,15.92906257,34.80278422
2018-0004,Cass,Roosevelt,11004300,2021,EWM,ProcellaCOR,8/5/2021,8/5/2021,4.6,Roosevelt,302.228,19.94,302.23,302.23,19.94,15,1.522029726,1.522019654
2018-0035,Cass,Girl,11017400,2021,EWM,ProcellaCOR,8/4/2021,8/4/2021,0.27,Girl,265.94,63.11,265.94,304.69,72.31,20,0.10152666,0.088614658
2018-0093,Stearns,Two Rivers,73013800,2021,CLP,Tribune,5/11/2021,5/11/2021,28.4,Two Rivers,221.09,37.89,221.09,157.59,27.01,7,12.84544756,18.02144806
2018-0093,Stearns,Two Rivers,73013800,2022,CLP,Tribune,5/25/2022,5/25/2022,7.8,Two Rivers,221.09,37.89,221.09,157.59,27.01,7,3.527975033,4.949552637
2018-0118,Stearns,Pearl,73003700,2020,CLP,Aquathol K,5/5/2020,5/5/2020,35.2,Pearl,558.626,74.86,558.63,642.73,86.13,16,6.301174668,5.476638713
2018-0118,Stearns,Pearl,73003700,2025,CLP,Diquat Herbicide,5/14/2025,5/14/2025,39.58,Pearl,558.626,74.86,558.63,642.73,86.13,16,7.085241288,6.158106826
2018-0126,Chisago,North Center,13003200,2020,CLP,Aquathol K,5/22/2020,5/22/2020,18.58,North Center,NA,NA,NA,NA,NA,NA,NA,NA
2018-0127,Chisago,North Center,13003200,2020,EWM,"2,4-D Amine",7/9/2020,7/9/2020,9.42,North Center,NA,NA,NA,NA,NA,NA,NA,NA
2018-0129,Chisago,South Center,13002700,2020,CLP,Aquathol K,5/22/2020,5/22/2020,14.16,South Center,544.508,65.48,544.51,462.13,55.57,10,2.600512756,3.06407288
2018-0175,Crow Wing,Ruth,18021200,2020,EWM,ProcellaCOR EC,7/31/2020,9/24/2020,6.6,Ruth,207.076,34.56,207.08,260.02,43.4,20,3.187235604,2.538266287
2018-0175,Crow Wing,Ruth,18021200,2022,EWM,ProcellaCOR EC,10/4/2022,10/4/2022,11.9,Ruth,207.076,34.56,207.08,260.02,43.4,20,5.746682377,4.576571033
2018-0180,Wright,Clearwater,86025200,2020,EWM,Dibrox,9/10/2020,9/10/2020,2.24,Clearwater,3186.88,50.07,1595.6,50.07,1595.6,15,0.070288182,4.473736769
2018-0180,Wright,Clearwater,86025200,2021,EWM,Dibrox,8/23/2021,8/23/2021,5.27,Clearwater,3186.88,50.07,1595.6,50.07,1595.6,15,0.165365499,10.52526463
2018-0182,Stearns,Koronis,73020002,2024,SSW,Mizzen,7/8/2024,8/19/2024,215.4,Koronis (main lake),1146.637,38.37,1146.64,1146.64,38.37,15,18.78536974,18.78532059
2018-0187,Todd,Latimer,77010500,2020,CLP,Aquathol K,5/26/2020,5/26/2020,8,Latimer,83.069,41.23,83.07,36.23,17.98,8,9.630548099,22.08114822
2018-0241,Cass,Margaret,11022200,2020,CLP,Aquathol K,5/26/2020,5/26/2020,7.4,Margaret,170.02,69.93,170.02,141.24,58.09,13,4.352429126,5.239308978
2018-0244,Crow Wing,Upper Mission,18024200,2022,CLP,ProcellaCOR EC,8/4/2022,8/4/2022,4.5,Upper Mission,285.461,32.63,285.46,285.46,32.63,15,1.576397476,1.576402999
2018-0247,Crow Wing,Upper Mission,18024200,2022,EWM,ProcellaCOR EC,8/4/2022,8/4/2022,4.5,Upper Mission,285.461,32.63,285.46,285.46,32.63,15,1.576397476,1.576402999
2018-0293,Isanti,Fannie,30004300,2020,CLP,Aquathol K,5/5/2020,5/5/2020,36.35,Fannie,268.229,77.31,268.23,227.86,65.68,10,13.55185308,15.95277802
2018-0293,Isanti,Fannie,30004300,2021,CLP,Aquathol K,5/7/2021,5/7/2021,27.6,Fannie,268.229,77.31,268.23,227.86,65.68,10,10.28971513,12.11270078
2018-0293,Isanti,Fannie,30004300,2022,CLP,Aquathol K,5/24/2022,5/24/2022,13.3,Fannie,268.229,77.31,268.23,227.86,65.68,10,4.958449683,5.836917405
2018-0293,Isanti,Fannie,30004300,2022,EWM,Tribune,5/24/2022,5/24/2022,6.6,Fannie,268.229,77.31,268.23,227.86,65.68,10,2.460584053,2.896515404
2018-0293,Isanti,Fannie,30004300,2024,CLP,Flumioxazin 51WDG Prime,5/9/2024,5/9/2024,18.96,Fannie,268.229,77.31,268.23,227.86,65.68,10,7.068586916,8.320898798
2018-0293,Isanti,Fannie,30004300,2025,CLP,Flumioxazin 51WDG Prime,5/12/2025,5/12/2025,38.15,Fannie,268.229,77.31,268.23,227.86,65.68,10,14.22292146,16.74273677
2018-0294,Hennepin,Upper Twin,27004201,2020,CLP,Diquat SPC 2 L,5/28/2020,5/28/2020,9.15,Upper Twin,123.503,96.59,123.5,123.5,96.59,15,7.408726914,7.408906883
2018-0332,Hubbard,Bad Axe,29020800,2021,EWM,ProcellaCOR EC,8/26/2021,8/26/2021,2.07,Bad Axe,303.26,41.22,125,41.22,125,15,0.682582602,5.021834061
2018-0332,Hubbard,Bad Axe,29020800,2025,EWM,ProcellaCOR EC,7/24/2025,7/24/2025,2,Bad Axe,303.26,41.22,125,41.22,125,15,0.659500099,4.852013586
2018-0333,Wright,French,86027300,2021,EWM,ProcellaCOR,7/27/2021,7/27/2021,11.2,French,166.944,48.15,166.94,166.94,48.15,15,6.708836496,6.708997245
2018-0333,Wright,French,86027300,2023,EWM,ProcellaCOR,9/26/2023,9/26/2023,7.8,French,166.944,48.15,166.94,166.94,48.15,15,4.672225417,4.672337367
2018-0334,Douglas,Ida,21012300,2021,CLP,Aquathol K,5/24/2021,5/24/2021,18.7,Ida,1751.072,39.56,1751.07,2106.87,47.59,21,1.067917253,0.88757256
2018-0334,Douglas,Ida,21012300,2022,CLP,Aquathol K,6/3/2022,6/3/2022,13.8,Ida,1751.072,39.56,1751.07,2106.87,47.59,21,0.788088668,0.655000071
2018-0334,Douglas,Ida,21012300,2024,CLP,Semera,5/23/2024,5/23/2024,12.7,Ida,1751.072,39.56,1751.07,2106.87,47.59,21,0.725270006,0.602789921
2018-0371,Morrison,Alexander,49007900,2025,CLP,FlumigardSC,5/8/2025,5/8/2025,16.45,Alexander,843.851,31.09,843.85,1074.44,39.58,20,1.94939628,1.531030118
2018-0395,Wright,Limestone,86016300,2020,CLP,Aquathol K,5/4/2020,5/4/2020,7.9,Limestone,97.929,53.34,97.93,87.88,47.87,13,8.067068999,8.989531179
2018-0395,Wright,Limestone,86016300,2021,CLP,Aquathol K,5/1/2021,5/1/2021,7.9,Limestone,97.929,53.34,97.93,87.88,47.87,13,8.067068999,8.989531179
2018-0395,Wright,Limestone,86016300,2022,CLP,Aquathol K,5/23/2022,5/23/2022,7.9,Limestone,97.929,53.34,97.93,87.88,47.87,13,8.067068999,8.989531179
2018-0408,Crow Wing,Serpent,18009000,2020,CLP,Aquathol K,5/22/2020,5/22/2020,1.9,Serpent,301.119,27.3,301.12,301.12,27.3,15,0.630979779,0.630977683
2018-0408,Crow Wing,Serpent,18009000,2021,CLP,Aquathol K,5/17/2021,5/17/2021,5,Serpent,301.119,27.3,301.12,301.12,27.3,15,1.660473102,1.660467588
2018-0408,Crow Wing,Serpent,18009000,2022,CLP,Aquathol K,6/1/2022,6/1/2022,13.7,Serpent,301.119,27.3,301.12,301.12,27.3,15,4.549696299,4.54968119
2018-0543,Morrison,Fish Trap,49013700,2020,CLP,Aquathol K,5/21/2020,5/21/2020,9.24,Fish Trap,357.286,30.05,357.29,357.29,30.05,15,2.586163466,2.586134513
2018-0543,Morrison,Fish Trap,49013700,2022,CLP,Aquathol K,6/6/2022,6/6/2022,40.5,Fish Trap,357.286,30.05,357.29,357.29,30.05,15,11.33545675,11.33532984
2018-0543,Morrison,Fish Trap,49013700,2024,CLP,Aquathol K,5/8/2024,5/8/2024,39,Fish Trap,357.286,30.05,357.29,357.29,30.05,15,10.91562502,10.91550281
2018-0544,Wright,Pleasant,86025100,2020,CLP,Tribune,5/12/2020,5/12/2020,15,Pleasant,291.243,50.98,291.24,326.45,57.15,18,5.150338377,4.594884362
2018-0611,Otter Tail,Big Pine,56013000,2022,CLP,Aquathol K,5/30/2023,5/30/2023,65,Big Pine,2375.962,50.23,2375.96,2375.96,50.23,15,2.735733989,2.735736292
2018-0668,Stearns,Grand,73005500,2020,CLP,Aquathol K,5/22/2020,5/22/2020,32.3,Grand,233.22,35.95,233.22,233.22,35.95,15,13.84958408,13.84958408
2018-0668,Stearns,Grand,73005500,2021,CLP,Aquathol K,5/7/2021,5/7/2021,32.41,Grand,233.22,35.95,233.22,233.22,35.95,15,13.89674985,13.89674985
2018-0668,Stearns,Grand,73005500,2023,CLP,Aquathol K,5/20/2023,5/20/2023,29.9,Grand,233.22,35.95,233.22,233.22,35.95,15,12.82051282,12.82051282
2018-0668,Stearns,Grand,73005500,2024,CLP,Aquathol K,4/24/2024,4/24/2024,33,Grand,233.22,35.95,233.22,233.22,35.95,15,14.14972987,14.14972987
2018-0670,Sherburne,Briggs,71014600,2020,CLP,Aquathol K,5/15/2020,5/15/2020,32,Briggs,219.68,54.35,219.68,145.72,36.05,8,14.56664239,21.95992314
2018-0670,Sherburne,Briggs,71014600,2021,CLP,Aquathol K,5/5/2021,5/5/2021,32.25,Briggs,219.68,54.35,219.68,145.72,36.05,8,14.68044428,22.13148504
2018-0670,Sherburne,Briggs,71014600,2023,CLP,Aquathol K,5/23/2023,5/23/2023,25.3,Briggs,219.68,54.35,219.68,145.72,36.05,8,11.51675164,17.36206423
2018-0670,Sherburne,Briggs,71014600,2025,CLP,FlumigardSC,4/30/2025,4/30/2025,27.8,Briggs,219.68,54.35,219.68,145.72,36.05,8,12.65477058,19.07768323
2018-0672,Sherburne,Julia,71014500,2020,CLP,Aquathol K,5/15/2020,5/15/2020,8,Julia,151.823,99.75,151.82,45.68,30.01,6,5.269293849,17.51313485
2018-0672,Sherburne,Julia,71014500,2021,CLP,Aquathol K,5/5/2021,5/5/2021,10.5,Julia,151.823,99.75,151.82,45.68,30.01,6,6.915948176,22.98598949
2018-0672,Sherburne,Julia,71014500,2022,CLP,Aquathol K,5/26/2022,5/26/2022,3.7,Julia,151.823,99.75,151.82,45.68,30.01,6,2.437048405,8.099824869
2018-0728,Sherburne,Orono,71001300,2022,CLP,Aquathol K,6/3/2022,6/3/2022,30.87,Orono,246.642,99.07,246.64,246.64,99.07,15,12.51611648,12.51621797
2018-0750,Wright,Cedar,86022700,2022,CLP,Tribune,5/23/2022,5/23/2022,7.6,Cedar,276.719,35.33,276.72,263.25,33.61,14,2.746468439,2.886989554
2018-0750,Wright,Cedar,86022700,2022,EWM,Tribune,5/23/2022,5/23/2022,7.6,Cedar,276.719,35.33,276.72,263.25,33.61,14,2.746468439,2.886989554
2018-0787,Rice,Roberds,66001800,2020,CLP,Aquathol K,5/4/2020,5/4/2020,20,Roberds,486.887,77.01,486.89,143.68,22.72,5,4.107729309,13.91982183
2018-0787,Rice,Roberds,66001800,2022,CLP,Aquathol K,5/23/2022,5/23/2022,20,Roberds,486.887,77.01,486.89,143.68,22.72,5,4.107729309,13.91982183
2018-0833,Kanabec,Ann,33004000,2024,CLP,Aquathol K,5/5/2024,5/5/2024,11,Ann,591.811,90.57,591.81,336.4,51.48,5.5,1.858701511,3.269916766
2018-0834,Crow Wing,North Long,18037200,2021,CLP,Aquathol K,5/17/2021,5/17/2021,9.7,North Long,4018.379,65.4,4018.38,4321.49,70.34,20,0.241390869,0.224459619
2018-0849,Stearns,North Brown,73014700,2020,CLP,Cygnet Plus,5/22/2020,5/22/2020,18,North Brown's,124.489,39.87,124.49,124.49,39.87,15,14.45910884,14.45899269
2018-0849,Stearns,North Brown's,73014700,2021,CLP,Aquathol K,5/24/2021,5/24/2021,18,North Brown's,124.489,39.87,124.49,124.49,39.87,15,14.45910884,14.45899269
2018-0881,Cass,Norway,11030700,2020,CLP,Aquathol K,5/26/2020,5/26/2020,12.2,Norway,514.879,100,514.88,514.88,100,14,2.369488754,2.369484152
2018-0881,Cass,Norway,11030700,2021,CLP,Aquathol K,5/27/2021,5/27/2021,7.1,Norway,514.879,100,514.88,514.88,100,14,1.378964766,1.378962088
2018-0898,Isanti,Blue,30010700,2020,CLP,Aquathol K,5/22/2020,5/22/2020,15.76,Blue,295.99,45.27,134,45.27,134,15,5.324504206,34.81334217
2018-0898,Isanti,Blue,30010700,2021,CLP,Diquat Herbicide,5/17/2021,5/17/2021,16,Blue,295.99,45.27,134,45.27,134,15,5.405588027,35.34349459
2018-0898,Isanti,Blue,30010700,2023,CLP,Tribune,5/23/2023,5/23/2023,16,Blue,295.99,45.27,134,45.27,134,15,5.405588027,35.34349459
2018-0910,Wright,Constance,86005100,2024,CLP,Tribune,4/29/2024,4/29/2024,8.2,Constance,86.428,53.51,86.43,43.43,26.89,8.5,9.487666034,18.88095786
2018-0912,Wright,Bass,86023400,2020,CLP,Aquathol K,5/20/2020,5/20/2020,6.06,Bass,95.961,44.9,95.96,95.96,44.9,15,6.315065495,6.315131305
2018-0912,Wright,Bass,86023400,2021,CLP,Aquathol K,5/19/2021,5/19/2021,11.4,Bass,95.961,44.9,95.96,95.96,44.9,15,11.87982618,11.87994998
2018-0912,Wright,Bass,86023400,2022,CLP,Aquathol K,5/19/2022,5/19/2022,2.5,Bass,95.961,44.9,95.96,95.96,44.9,15,2.605225039,2.605252188
2018-1014,Blue Earth,Duck,7005300,2020,CLP,Dibrox,5/6/2020,5/6/2020,23.7,Duck,247.129,85.1,247.13,147.19,50.68,10,9.590133088,16.10163734
2018-1015,Isanti,Green,30013600,2020,CLP,Dibrox,5/20/2020,5/20/2020,50.5,Green,357.1,42.88,357.1,135.24,16.24,5,14.141697,37.34102337
2018-1016,Isanti,Long,30007200,2021,CLP,Aquathol K,5/5/2021,5/5/2021,7.8,Long,381.576,100,381.58,372.26,97.56,8,2.04415372,2.09530973
