Permit_number,County_name,Lake_parent_name,k_Lake_ID,App_year,species_code,Pesticide_trade_name,start_date,end_date,treatment_size,LAKE_NAME,LakeAreaAcres,Percentage_15ft_LittoralZone,15ft_LittoralZone_Acres,ObservedLittoralZone_Acres,Percentage_ObservedLittoralZone,Depth_ObservedLittoralZone,TreatmentSize_PercentofLake,TreatmentSize_PercentofLittoral
2017-0434,Pine,Sturgeon,58006700,2025,EWM,ProcellaCOR EC,8/20/2025,8/20/2025,5.92,Sturgeon,727.335,42.64,727.33,727.33,42.64,15,0.813930307,0.813935903
2017-0437,Pine,Sand,58008100,2020,EWM,ProcellaCOR EC,8/18/2020,8/18/2020,10,Sand,234.851,45.49,234.85,204.47,39.61,12,4.258018914,4.890693011
2017-0437,Pine,Sand,58008100,2022,EWM,ProcellaCOR EC,7/29/2022,7/29/2022,13.95,Sand,234.851,45.49,234.85,204.47,39.61,12,5.939936385,6.822516751
2017-0442,Sherburne,Big,71008200,2020,EWM,"2,4-D Amine",7/17/2020,7/17/2020,1.65,Big,116.407,45.67,116.41,145.03,56.9,20,1.417440532,1.137695649
2017-0442,Sherburne,Big,71008200,2023,EWM,ProcellaCOR EC,7/21/2023,7/21/2023,4.5,Big,116.407,45.67,116.41,145.03,56.9,20,3.865746905,3.102806316
2017-0445,Sherburne,Big,71008200,2020,EWM,"2,4-D Amine",7/17/2020,7/17/2020,6.4,Big,116.407,45.67,116.41,145.03,56.9,20,5.497951154,4.412880094
2017-0445,Sherburne,Mitchell,71008100,2020,EWM,"2,4-D Amine",7/17/2020,7/17/2020,6.9,Mitchell,90.375,56.13,90.38,85.96,53.38,14,7.634854772,8.026989297
2017-0447,Wright,Ann,86019000,2022,CLP,Aquathol K,5/23/2024,5/23/2024,11.9,Ann,282.162,75.16,282.16,111.89,29.81,7,4.217435374,10.63544553
2017-0447,Wright,Ann,86019000,2024,CLP,Aquathol K,5/14/2024,5/14/2024,11.9,Ann,282.162,75.16,282.16,111.89,29.81,7,4.217435374,10.63544553
2017-0511,Le Sueur,East Jefferson,40009201,2023,CLP,Aquathol K,5/9/2023,5/9/2023,6.58,East Jefferson,331.516,51.11,331.52,275.17,42.43,12,1.984821245,2.391249046
2017-0512,Le Sueur,Jefferson,40009204,2021,CLP,Aquathol K,5/19/2021,5/19/2021,29.9,Middle Jefferson,654.932,98.6,654.93,216.66,32.62,4,4.565359457,13.80042463
2017-0512,Le Sueur,Jefferson,40009204,2022,CLP,Aquathol K,5/18/2022,5/18/2022,27.6,Middle Jefferson,654.932,98.6,654.93,216.66,32.62,4,4.21417796,12.7388535
2017-0512,Le Sueur,Jefferson,40009204,2024,CLP,Aquathol K,5/3/2024,5/3/2024,18.69,Middle Jefferson,654.932,98.6,654.93,216.66,32.62,4,2.85373138,8.626419274
2017-0513,Le Sueur,West Jefferson,40009202,2021,CLP,Aquathol K,5/19/2021,5/19/2021,7.72,West Jefferson,348.682,79.46,348.68,263.78,60.11,10,2.214051772,2.926681325
2017-0522,Hennepin,Hyland,27004800,2020,CLP,Tribune,4/30/2020,4/30/2020,9,Hyland,83.913,99.5,83.91,46.52,55.16,9,10.72539416,19.34651763
2017-0522,Hennepin,Hyland,27004800,2021,CLP,Sonar A.S.,4/5/2021,4/28/2021,168,Hyland,83.913,99.5,83.91,46.52,55.16,9,200.2073576,361.1349957
2017-0522,Hennepin,Hyland,27004800,2024,CLP,Sonar A.S.,4/2/2024,4/29/2024,74,Hyland,83.913,99.5,83.91,46.52,55.16,9,88.18657419,159.0713672
2017-0525,Washington,Demontreville,82010100,2023,EWM,Sonar A.S.,5/2/2023,5/2/2023,157.06,DeMontreville,142.617,90.81,142.62,135.07,86,13,110.1271237,116.2804472
2017-0526,Washington,Olson,82010300,2021,EWM,Tribune,6/2/2021,6/2/2021,9.2,Olson,87.384,100,87.38,87.38,100,17,10.52824316,10.52872511
2017-0533,Becker,Detroit,3038100,2021,CLP,Aquathol K,5/26/2021,5/26/2021,8.2,Detroit,1868.577,60.92,1868.58,2065.12,67.33,18,0.438836612,0.397071357
2017-0534,Becker,Sallie,3035900,2021,CLP,Aquathol K,5/26/2021,5/26/2021,4.7,Sallie,576.81,45.32,576.81,737.81,57.96,21,0.814826373,0.637020371
2017-0534,Becker,Sallie,3035900,2021,CLP,Tribune,5/26/2021,5/26/2021,7.6,Sallie,576.81,45.32,576.81,737.81,57.96,21,1.317591581,1.030075494
2017-0534,Becker,Sallie,3035900,2022,CLP,Tribune,6/3/2022,6/3/2022,7.6,Sallie,576.81,45.32,576.81,737.81,57.96,21,1.317591581,1.030075494
2017-0562,Scott,Cedar,70009100,2022,CLP,Tribune,6/7/2022,6/7/2022,132.6,Cedar,792.503,100,792.5,792.5,100,12.5,16.73179786,16.7318612
2017-0562,Scott,Cedar,70009100,2023,CLP,Sonar A.S.,4/14/2023,4/14/2023,793,Cedar,792.503,100,792.5,792.5,100,12.5,100.0627127,100.0630915
2017-0566,Scott,McMahon,70005000,2021,CLP,Tribune,5/17/2021,5/17/2021,16.5,McMahon,162.258,99.43,162.26,157.93,96.78,13,10.16899013,10.44766669
2017-0573,Hennepin,Rebecca,27019200,2021,CLP,Tribune,5/7/2021,5/7/2021,35,Rebecca,122.716,46.61,122.72,40.86,15.52,4.5,28.52113824,85.65834557
2017-0582,Scott,O'Dowd,70009500,2021,CLP,Tribune,5/24/2021,5/24/2021,17.64,O'Dowd,273.579,87.11,273.58,161.28,51.35,6,6.447863323,10.9375
2017-0600,Wright,Fish,86018300,2021,EWM,ProcellaCOR,7/16/2021,7/16/2021,5.3,Fish,54.156,57.25,54.16,33.88,35.81,6,9.786542581,15.64344746
2017-0600,Wright,Fish,86018300,2022,EWM,ProcellaCOR EC,9/28/2022,9/28/2022,3.3,Fish,54.156,57.25,54.16,33.88,35.81,6,6.093507645,9.74025974
2017-0600,Wright,Fish,86018300,2024,CLP,ProcellaCOR EC,7/12/2024,7/12/2024,7.9,Fish,54.156,57.25,54.16,33.88,35.81,6,14.587488,23.3175915
2017-0620,Kanabec,Quamba,33001500,2020,CLP,Aquathol K,5/19/2020,5/19/2020,27.8,Quamba,226.374,100,226.37,80.22,35.44,5,12.28056226,34.65469958
2017-0621,Anoka,Linwood,2002600,2020,CLP,Dibrox,5/4/2020,5/4/2020,40.9,Linwood,484.91,85.24,484.91,179.37,31.53,6,8.434554866,22.80202932
2017-0621,Anoka,Linwood,2002600,2021,CLP,Dibrox,5/5/2021,5/5/2021,42.3,Linwood,484.91,85.24,484.91,179.37,31.53,6,8.723268235,23.58253889
2017-0645,Scott,Thole/Schneider,70012001,2021,CLP,Tribune,5/24/2021,5/24/2021,7.42,Thole,118.52,99.76,118.52,88.63,74.61,9,6.260546743,8.37188311
