"","survey_id","DOW","SURVEY_START","lag0_before","lag0_after","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8"
"85",405,"27004800",2020-04-17,0,1,1,0,1,0,0,0,0,0
"86",406,"27004800",2020-06-04,1,0,1,0,1,0,0,0,0,0
"87",407,"27005500",2018-05-13,0,1,0,0,0,0,0,0,0,0
"88",408,"27005500",2019-05-05,1,0,1,0,0,0,0,0,0,0
"89",410,"27005500",2021-05-02,0,0,2,1,1,0,0,0,0,0
"90",411,"27005500",2022-05-15,1,0,0,2,1,1,0,0,0,0
"91",412,"27005500",2023-05-13,0,0,1,0,2,1,1,0,0,0
"92",413,"27005500",2024-04-13,0,1,0,1,0,2,1,1,0,0
"93",417,"27005700",2023-06-19,1,0,0,0,0,0,0,0,0,0
"94",418,"27005700",2023-08-14,1,0,0,0,0,0,0,0,0,0
"95",419,"27005700",2024-06-24,0,0,1,0,0,0,0,0,0,0
"96",420,"27005700",2024-08-29,0,0,1,0,0,0,0,0,0,0
"97",457,"27007600",2018-07-06,1,0,1,0,0,0,0,0,0,0
"98",458,"27007600",2021-08-30,1,0,1,1,1,1,0,0,0,0
"99",462,"27007800",2017-06-20,1,0,0,0,0,0,0,0,0,0
"100",463,"27007800",2017-06-28,1,0,0,0,0,0,0,0,0,0
"101",464,"27007800",2017-08-08,1,0,0,0,0,0,0,0,0,0
"102",465,"27007800",2018-08-13,0,0,1,0,0,0,0,0,0,0
"103",466,"27007800",2019-06-03,0,0,0,1,0,0,0,0,0,0
"104",467,"27007800",2019-06-18,0,0,0,1,0,0,0,0,0,0
"105",468,"27007800",2019-08-12,0,0,0,1,0,0,0,0,0,0
"106",469,"27007800",2023-05-22,0,0,0,0,0,0,0,1,0,0
"107",470,"27007800",2023-06-14,0,0,0,0,0,0,0,1,0,0
"108",471,"27007800",2023-08-23,0,0,0,0,0,0,0,1,0,0
"109",478,"27009000",2024-06-12,1,0,0,0,0,0,0,0,0,0
"110",479,"27009000",2024-08-12,1,0,0,0,0,0,0,0,0,0
"111",480,"27009000",2025-06-10,1,0,1,0,0,0,0,0,0,0
"112",481,"27009000",2025-08-12,1,0,1,0,0,0,0,0,0,0
"113",488,"27009800",2018-05-12,1,0,1,1,0,0,0,0,0,0
"114",489,"27009800",2018-08-16,1,0,1,1,0,0,0,0,0,0
"115",490,"27009800",2019-07-29,1,0,1,1,1,0,0,0,0,0
"116",491,"27009800",2021-05-26,0,1,1,1,1,1,1,0,0,0
"117",492,"27009800",2021-08-17,1,0,1,1,1,1,1,0,0,0
"118",493,"27009800",2023-08-21,1,0,1,1,1,1,1,1,1,0
"119",511,"27010300",2022-06-21,0,0,0,1,2,1,1,0,0,0
"120",512,"27010300",2022-08-09,0,0,0,1,2,1,1,0,0,0
"121",513,"27010400",2022-04-29,0,1,1,1,1,1,1,0,0,0
"122",516,"27010400",2017-04-20,1,0,0,0,0,0,0,0,0,0
"123",517,"27010400",2017-06-02,1,0,0,0,0,0,0,0,0,0
"124",518,"27010400",2017-09-01,1,0,0,0,0,0,0,0,0,0
"125",519,"27010400",2018-05-15,1,0,1,0,0,0,0,0,0,0
"126",520,"27010400",2018-06-27,1,0,1,0,0,0,0,0,0,0
