"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral"
"2017-1038","Hennepin","Minnetonka",27013303,2020,"EWM","Kammo Plus",2020-07-10,2020-07-10,4.95,"Minnetonka-Carsons Bay",78.863,78.86,78.86,68.68,68.68,15,6.27670770830427,6.27694648744611
"2017-1038","Hennepin","Minnetonka",27013303,2021,"EWM","ProcellaCOR",2021-06-29,2021-06-29,10.5,"Minnetonka-Carsons Bay",78.863,78.86,78.86,68.68,68.68,15,13.3142284721606,13.3147349733705
"2017-1038","Hennepin","Minnetonka",27013303,2022,"EWM","Tribune",2022-08-09,2022-08-09,12,"Minnetonka-Carsons Bay",78.863,78.86,78.86,68.68,68.68,15,15.2162611110407,15.2168399695663
"2017-1038","Hennepin","Minnetonka",27013303,2025,"CLP","Sonar A.S.",2025-04-29,2025-04-29,115,"Minnetonka-Carsons Bay",78.863,78.86,78.86,68.68,68.68,15,145.82250231414,145.828049708344
"2017-1039","Hennepin","Minnetonka",27013301,2020,"EWM","ProcellaCOR EC",2020-07-08,2020-07-08,33.25,"Minnetonka-Grays Bay",164.537,164.54,164.54,87.58,87.58,15,20.2082206433811,20.2078521939954
"2017-1039","Hennepin","Minnetonka",27013301,2021,"EWM","ProcellaCOR",2021-06-29,2021-06-29,22.98,"Minnetonka-Grays Bay",164.537,164.54,164.54,87.58,87.58,15,13.9664634702225,13.9662088246019
"2017-1041","Hennepin","Minnetonka",27013300,2021,"EWM","ProcellaCOR EC",2021-06-18,2021-06-18,11.6,"Minnetonka",6032.044,6032.04,6032.04,36.61,36.61,15,0.192306289542981,0.1923064170662
"2017-1041","Hennepin","Minnetonka",27013305,2022,"EWM","ProcellaCOR EC",2022-07-01,2022-07-01,12,"Minnetonka-Upper Lake",1699.304,1699.3,1699.3,37.59,37.59,15,0.706171467848013,0.706173130112399
"2017-1042","Hennepin","Minnetonka",27013304,2020,"CLP","Tribune",2020-05-29,2020-05-29,12.7,"Minnetonka-St. Albans Bay",103.155,103.16,103.16,62.08,62.08,15,12.3115699675246,12.310973245444
"2017-1042","Hennepin","Minnetonka",27013304,2021,"CLP","Tribune",2021-05-26,2021-05-26,28.2,"Minnetonka-St. Albans Bay",103.155,103.16,103.16,62.08,62.08,15,27.337501817653,27.3361768127181
"2017-1043","Hennepin","Minnetonka",27013304,2020,"EWM","Kammo Plus",2020-07-23,2020-07-23,3.84,"Minnetonka-St. Albans Bay",103.155,103.16,103.16,62.08,62.08,15,3.72255343899956,3.72237301279566
"2017-1043","Hennepin","Minnetonka",27013304,2022,"CLP","Sonar A.S.",2022-05-11,2022-05-11,160,"Minnetonka-St. Albans Bay",103.155,103.16,103.16,62.08,62.08,15,155.106393291648,155.098875533152
"2017-1043","Hennepin","Minnetonka",27013304,2022,"EWM","Sonar",2022-07-13,2022-07-13,160,"Minnetonka-St. Albans Bay",103.155,103.16,103.16,62.08,62.08,15,155.106393291648,155.098875533152
"2017-1043","Hennepin","Minnetonka",27013304,2022,NA,"Sonar A.S.",2022-06-09,2022-06-09,100,"Minnetonka-St. Albans Bay",103.155,103.16,103.16,62.08,62.08,15,96.9414958072803,96.9367972082203
"2017-1044","Hennepin","Minnetonka",27013313,2020,"CLP","Tribune",2020-05-15,2020-05-15,47.7,"Minnetonka-North Arm",169.204,169.2,169.2,52.16,52.16,15,28.1908229119879,28.1914893617021
"2017-1044","Hennepin","Minnetonka",27013313,2021,"CLP","Tribune",2021-05-26,2021-05-26,50.1,"Minnetonka-North Arm",169.204,169.2,169.2,52.16,52.16,15,29.6092290962389,29.6099290780142
"2017-1044","Hennepin","Minnetonka",27013313,2025,"CLP","Tribune",2025-05-07,2025-05-07,53.62,"Minnetonka-North Arm",169.204,169.2,169.2,52.16,52.16,15,31.6895581664736,31.6903073286052
"2017-1047","Hennepin","Minnetonka",27013310,2020,"EWM","Tribune",2020-06-11,2020-06-11,17,"Minnetonka-Crystal Bay",317.357,317.36,317.36,38.9,38.9,15,5.35674335212395,5.35669271489791
"2017-1047","Hennepin","Minnetonka",27013310,2022,"EWM","ProcellaCOR",2022-07-26,2022-07-26,52.9,"Minnetonka-Crystal Bay",317.357,317.36,317.36,38.9,38.9,15,16.6689249016092,16.6687673304764
"2017-1050","Lincoln","Benton",41004300,2020,"CLP","Sonar A.S.",2020-05-14,2020-05-14,1034,"Benton",2649.413,2649.41,279.36,100,10.54,5,39.0275128868168,370.131729667812
"2017-1050","Lincoln","Benton",41004300,2021,"CLP","Sonar A.S.",2021-04-14,2021-04-14,1034,"Benton",2649.413,2649.41,279.36,100,10.54,5,39.0275128868168,370.131729667812
"2017-1072","Crow Wing","Platte",18008800,2020,"CLP","Aquathol K",2020-05-20,2020-05-20,43.2,"Platte",1615.908,1615.91,1615.91,94.32,94.32,15,2.67341952635917,2.67341621748736
"2017-1072","Crow Wing","Platte",18008800,2021,"CLP","Aquathol K",2021-05-21,2021-05-21,42.3,"Platte",1615.908,1615.91,1615.91,94.32,94.32,15,2.61772328622669,2.61772004628971
"2017-1083","Anoka","Coon",2004200,2021,"CLP","Tribune",2021-05-05,2021-05-05,9.2,"Coon",1331.965,1331.96,1283.59,89.92,86.66,12,0.690708839946996,0.716739768929331
"2017-1092","Anoka","Coon",2004200,2021,"EWM","ProcellaCOR EC",2021-07-12,2021-07-12,22.83,"Coon",1331.965,1331.96,1283.59,89.92,86.66,12,1.71400900173803,1.77860531789746
"2017-1092","Anoka","Coon",2004200,2022,"EWM","ProcellaCOR EC",2022-07-22,2022-07-22,40.3,"Coon",1331.965,1331.96,1283.59,89.92,86.66,12,3.02560502715912,3.13963181389696
"2017-1097","Carver","Minnewashta",10000900,2020,"CLP","Dibrox",2020-05-19,2020-05-19,36.6,"Minnewashta",337.891,337.89,330.74,50.21,49.15,14,10.8318954929252,11.066094212977
"2017-1097","Carver","Minnewashta",10000900,2021,"CLP","Dibrox",2021-05-18,2021-05-18,41.1,"Minnewashta",337.891,337.89,330.74,50.21,49.15,14,12.1636859223833,12.4266795670315
"2017-1154","Ramsey","Bald Eagle",62000200,2020,"CLP","Diquat Herbicide",2020-05-04,2020-05-04,72.6,"Bald Eagle",589.063,589.06,211.86,56.13,20.19,6,12.3246579737651,34.2679127725857
"2017-1154","Ramsey","Bald Eagle",62000200,2022,"CLP","Tribune",2023-05-16,2023-05-16,68.93,"Bald Eagle",589.063,589.06,211.86,56.13,20.19,6,11.7016346299123,32.5356367412442
"2017-1210","Washington","Big Marine",82005200,2020,"EWM","ProcellaCOR EC",2020-07-16,2020-07-16,3.76,"Big Marine",1180.442,1180.44,1278.62,69.79,75.59,18.5,0.318524755981234,0.294067041028609
"2017-1210","Washington","Big Marine",82005200,2022,"EWM","ProcellaCOR",2022-08-04,2022-08-04,5.18,"Big Marine",1180.442,1180.44,1278.62,69.79,75.59,18.5,0.438818679782658,0.405124274608562
"2017-1297","Dakota","Farquar",19002300,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,10,"Farquar",63.581,63.58,63.58,100,100,15,15.7279690473569,15.7282164202579
"2017-1297","Dakota","Farquar",19002300,2022,"CLP","Aquathol K",2022-05-10,2022-05-10,9.27,"Farquar",63.581,63.58,63.58,100,100,15,14.5798273068999,14.5800566215791
"2017-1306","Rice","Cedar",66005200,2020,"CLP","Aquathol K",2020-05-11,2020-05-11,24.5,"Cedar",667.272,667.27,238.02,75.35,26.88,4,3.67166612715654,10.293252667843
"2017-1306","Rice","Cedar",66005200,2021,"CLP","Aquathol K",2021-05-12,2021-05-12,18.8,"Cedar",667.272,667.27,238.02,75.35,26.88,4,2.81744176287931,7.89849592471221
"2017-1306","Rice","Cedar",66005200,2022,"CLP","Aquathol K",2022-05-10,2022-05-10,35,"Cedar",667.272,667.27,238.02,75.35,26.88,4,5.24523732450935,14.7046466683472
"2017-1306","Rice","Cedar",66005200,2023,"CLP","Aquathol K",2023-05-11,2023-05-11,50,"Cedar",667.272,667.27,238.02,75.35,26.88,4,7.49319617787049,21.0066380976389
"2017-1307","Waseca","Clear",81001401,2020,"CLP","Aquathol K",2020-05-06,2020-05-06,30,"Clear",563.674,563.67,215.16,86.89,33.16,8,5.32222525786181,13.9431121026213
"2017-1312","Becker","Sallie",3035900,2022,"FR","Tribune",2022-06-28,2022-08-01,62.2,"Sallie",576.81,576.81,737.81,45.32,57.96,21,10.7834468889236,8.43035469836408
"2017-1313","Becker","Melissa",3047500,2021,"FR","Tribune",2021-06-28,2021-06-28,24,"Melissa",899.472,899.47,1192.62,48.59,64.43,22,2.66823202945728,2.01237611309554
"2017-1367","Wright","East Sylvia",86028900,2023,"EWM","Platoon",2023-08-25,2023-08-25,3.06,"East Lake Sylvia",209.542,209.54,259.53,31.34,38.82,24,1.46032776245335,1.17905444457288
"2017-1379","Wright","Howard",86019900,2022,"EWM","2,4-D Amine",2022-08-22,2022-08-22,44.4,"Howard",317.586,317.59,209.71,43.16,28.5,9,13.9804651338535,21.1720947975776
"2017-1486","Pope","Minnewaska",61013000,2020,"EWM","2,4-D Amine",2020-08-21,2020-08-21,18.14,"Minnewaska",3290.836,3290.84,3290.84,40.88,40.88,15,0.551227712350296,0.551227042335695
"2017-1486","Pope","Minnewaska",61013000,2021,"EWM","2,4-D Amine",2021-07-16,2021-07-16,16.74,"Minnewaska",3290.836,3290.84,3290.84,40.88,40.88,15,0.508685331022269,0.508684712717726
"2017-1486","Pope","Minnewaska",61013000,2022,"EWM","2,4-D Amine",2022-09-13,2022-09-13,5.27,"Minnewaska",3290.836,3290.84,3290.84,40.88,40.88,15,0.160141678284788,0.160141483633358
"2017-1500","Blue Earth","Ballantyne",7005400,2022,"EWM","2,4-D Amine",2022-06-22,2022-06-22,37.1,"Ballantyne",328.587,328.59,294.31,88.06,78.88,9,11.2907692635436,12.6057558356835
"2017-1500","Blue Earth","Ballantyne",7005400,2023,"EWM","2,4-D Amine",2023-06-27,2023-06-27,10.6,"Ballantyne",328.587,328.59,294.31,88.06,78.88,9,3.22593407529817,3.60164452448099
"2017-1507","Wright","Maple",86013400,2020,"CLP","Tribune",2020-05-12,2020-05-12,10.1,"Maple",862,393,393,45.59164733,45.59164733,15,1.17169373549884,2.56997455470738
"2017-1507","Wright","Maple",86013400,2021,"CLP","Tribune",2021-05-11,2021-05-11,10.1,"Maple",862,393,393,45.59164733,45.59164733,15,1.17169373549884,2.56997455470738
"2017-1512","Carlton","Chub",9000800,2020,"EWM","ProcellaCOR EC",2020-07-10,2020-07-10,11,"Chub",172.923,172.92,163.52,55.17,52.17,14,6.36121279413381,6.72700587084149
"2017-1512","Carlton","Chub",9000800,2021,"EWM","ProcellaCOR",2021-06-24,2021-06-24,13.2,"Chub",172.923,172.92,163.52,55.17,52.17,14,7.63345535296057,8.07240704500978
"2017-1565","Dakota","Marion",19002600,2021,"CLP","Tribune",2021-05-17,2021-05-17,16.46,"Marion",417.991,417.99,406.15,79.27,77.02,14,3.93788383003462,4.05268989289671
"2017-1707","Crow Wing","Mayo",18040800,2022,"CLP","Aquathol K",2022-05-19,2022-05-19,9.6,"Mayo",156.391,156.39,146.76,94.55,88.73,12,6.13846065310664,6.54129190515127
"2017-1709","Washington","Bone",82005400,2020,"CLP","Aquathol K",2020-05-12,2020-05-12,5.14,"Bone",119.403,119.4,59.26,54.71,27.16,6,4.30474946190632,8.67364157948026
"2017-1709","Washington","Bone",82005400,2021,"CLP","Aquathol K",2021-05-26,2021-05-26,4.38,"Bone",119.403,119.4,59.26,54.71,27.16,6,3.66824954146881,7.39115761052987
"2017-1779","Douglas","Smith",21008500,2023,"CLP","Aquathol K",2023-05-30,2023-05-30,42.6,"Andrew",322.666,322.67,345.58,35.14,37.63,17,13.2025066167492,12.3271022628624
"2017-1825","Le Sueur","Tetonka",40003100,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,58.74,"Tetonka",551.224,551.22,421.08,40.63,31.04,10,10.656284922282,13.9498432601881
"2017-1825","Le Sueur","Tetonka",40003100,2021,"CLP","Aquathol K",2021-05-18,2021-05-18,58.74,"Tetonka",551.224,551.22,421.08,40.63,31.04,10,10.656284922282,13.9498432601881
"2017-1826","Crow Wing","Grave",18011000,2025,"CLP","FlumigardSC",2025-05-05,2025-05-05,5.5,"Grave",168.57,168.57,100,100,168.57,15,3.26273951474165,5.5
"2017-1881","Hennepin","Minnetonka",27013300,2020,"CLP","Tribune",2020-05-15,2020-05-15,27.3,"Minnetonka",6032.044,6032.04,6032.04,36.61,36.61,15,0.45258290556236,0.45258320568166
"2017-1881","Hennepin","Minnetonka",27013305,2022,"CLP","Tribune",2022-06-01,2022-06-01,25,"Minnetonka-Upper Lake",1699.304,1699.3,1699.3,37.59,37.59,15,1.47119055801669,1.4711940210675
"2017-1978","Washington","Jane",82010400,2020,"EWM","ProcellaCOR EC",2020-09-18,2020-09-18,6.71,"Jane",109.706,109.71,125.21,71.25,81.32,22,6.11634732831386,5.35899688523281
"2017-1982","Ramsey","Silver",62000100,2020,"CLP","Tribune",2020-05-29,2020-05-29,6.52,"Silver (East)",71.816,71.82,70.9,98.12,96.86,11,9.07875682299209,9.19605077574048
"2017-1984","Crow Wing","Bay",18003400,2024,"EWM","Platoon",2024-10-09,2024-10-09,4.41,"Bay",878.981,878.98,1019.35,37.89,43.94,19,0.50171732949859,0.432628635895424
"2017-1985","Crow Wing","Bay",18003400,2020,"EWM","2,4-D Amine",2020-06-22,2020-10-19,44.74,"Bay",878.981,878.98,1019.35,37.89,43.94,19,5.08998488021925,4.38907146711139
"2017-1985","Crow Wing","Bay",18003400,2021,"EWM","2,4-D Amine",2021-10-11,2021-10-12,83.34,"Bay",878.981,878.98,1019.35,37.89,43.94,19,9.481433614606,8.17579830284004
"2017-1985","Crow Wing","Bay",18003400,2021,"EWM","Dibrox",2021-10-11,2021-10-11,6.5,"Bay",878.981,878.98,1019.35,37.89,43.94,19,0.739492662526266,0.637661254721146
"2017-1985","Crow Wing","Bay",18003400,2021,"EWM","Platoon",2021-06-22,2021-06-22,7.288,"Bay",878.981,878.98,1019.35,37.89,43.94,19,0.829141926844835,0.714965419139648
"2017-1985","Crow Wing","Bay",18003400,2022,"EWM","2,4-D Amine",2022-06-27,2022-10-04,48.473,"Bay",878.981,878.98,1019.35,37.89,43.94,19,5.51468120471319,4.75528523078432
"2017-1985","Crow Wing","Bay",18003400,2024,"EWM","Platoon",2024-10-08,2024-10-09,33.68,"Bay",878.981,878.98,1019.35,37.89,43.94,19,3.83170967290533,3.30406631677049
"2017-2060","Wright","West Sylvia",86027900,2023,"SSW","Cutrine-Plus",2023-07-21,2023-07-21,1.7,"West Lake Sylvia",297.099,297.1,401.98,32.85,44.45,25,0.572199839110869,0.422906612269267
"2017-2067","Washington","Elmo",82010600,2022,"EWM","ProcellaCOR EC",2022-06-22,2022-06-22,12,"Elmo",66.382,66.38,72.1,25.85,28.08,17,18.0771895995902,16.6435506241331
"2017-2067","Washington","Elmo",82010600,2023,"EWM","ProcellaCOR EC",2023-06-16,2023-06-16,12,"Elmo",66.382,66.38,72.1,25.85,28.08,17,18.0771895995902,16.6435506241331
"2017-2184","Anoka","Crooked",2008400,2020,"CLP","Tribune",2020-05-13,2020-05-13,5.9,"Crooked",84.017,84.02,73.19,73.1,63.68,12,7.02238832617209,8.06121054788906
"2017-2184","Anoka","Crooked",2008400,2021,"CLP","Tribune",2021-05-18,2021-05-18,1.9,"Crooked",84.017,84.02,73.19,73.1,63.68,12,2.26144708808931,2.59598305779478
"2017-2726","Hennepin","Sarah",27019100,2021,"EWM","Tribune",2021-06-22,2021-06-22,29.08,"Sarah",557.23,373,66.94,66.94,373,15,5.21867092582955,43.4418882581416
"2017-2726","Hennepin","Sarah",27019100,2023,"EWM","ProcellaCOR EC",2023-10-02,2023-10-02,23.12,"Sarah",557.23,373,66.94,66.94,373,15,4.14909462878883,34.5383925903794
"2017-2726","Hennepin","Sarah",27019100,2023,"EWM","Tribune",2023-06-23,2023-06-23,2.8,"Sarah",557.23,373,66.94,66.94,373,15,0.502485508676848,4.18285031371377
"2017-2726","Hennepin","Sarah",27019101,2022,"EWM","Tribune",2022-07-01,2022-07-01,8.76,"West Sarah",242.6,242.6,242.6,67.83,67.83,15,3.61088211046991,3.61088211046991
"2017-2765","Le Sueur","Rays",40005600,2021,"EWM","2,4-D Amine",2021-06-08,2021-06-08,21.2,"Rays",151.1,151.1,104.76,89.44,62.01,7,14.030443414957,20.2367315769378
"2017-2771","Hennepin","Minnetonka",27013301,2020,"EWM","Kammo Plus",2020-07-08,2020-07-08,1,"Minnetonka-Grays Bay",164.537,164.54,164.54,87.58,87.58,15,0.607766034387402,0.607754953202869
"2017-2870","Washington","White Bear",82016700,2021,"EWM","Triclopyr 3",2021-07-15,2021-07-15,26.67,"White Bear",1334.411,1334.41,1504.4,53.61,60.44,18,1.99863460358166,1.77279978729061
"2017-2870","Washington","White Bear",82016700,2021,"EWM","Weedar 64",2021-07-15,2021-07-15,23.85,"White Bear",1334.411,1334.41,1504.4,53.61,60.44,18,1.78730541040204,1.58534964105291
"2017-3015","Carlton","Bear",9003400,2020,"EWM","ProcellaCOR EC",2020-09-09,2020-09-09,0.76,"Bear",70.075,70.07,62.45,76.65,68.3,13,1.0845522654299,1.21697357886309
"2017-3315","Ramsey","Turtle",62006100,2020,"EWM","ProcellaCOR",2020-07-02,2020-07-02,16.6,"Turtle",284.178,284.18,284.18,63.15,63.15,15,5.841409257578,5.84136814694912
"2017-3315","Ramsey","Turtle",62006100,2021,"EWM","ProcellaCOR",2021-06-30,2021-06-30,29.85,"Turtle",284.178,284.18,284.18,63.15,63.15,15,10.5039798999219,10.5039059750862
"2017-3315","Ramsey","Turtle",62006100,2022,"EWM","ProcellaCOR",2022-06-28,2022-06-28,42.6,"Turtle",284.178,284.18,284.18,63.15,63.15,15,14.9906044802905,14.99049897952
"2017-3409","Washington","Forest",82015900,2020,"FR","Tribune",2020-08-06,2020-09-02,11.05,"Forest",1561.192,1561.19,1404.75,68.75,61.86,13,0.707792507263681,0.786616835735896
"2017-365","Meeker","Long",47017700,2022,"CLP","Tribune",2022-05-22,2022-05-22,43.62,"Long",787.031,787.03,787.03,100,100,15,5.54234839542534,5.54235543753097
"2017-459","Wright","Beebe",86002300,2020,"EWM","2,4-D Amine",2020-07-31,2020-07-31,4,"Beebe",179.487,179.49,162.18,58.99,53.3,12,2.22857365714509,2.46639536317672
"2017-459","Wright","Silver",86014000,2020,"EWM","2,4-D Amine",2020-07-01,2020-07-01,6,"Silver",37.667,37.67,17.24,45.54,20.84,6,15.9290625746675,34.8027842227378
"2018-0004","Cass","Roosevelt",11004300,2021,"EWM","ProcellaCOR",2021-08-05,2021-08-05,4.6,"Roosevelt",302.228,302.23,302.23,19.94,19.94,15,1.5220297259023,1.52201965390597
"2018-0035","Cass","Girl",11017400,2021,"EWM","ProcellaCOR",2021-08-04,2021-08-04,0.27,"Girl",265.94,265.94,304.69,63.11,72.31,20,0.101526660148906,0.0886146575207588
"2018-0093","Stearns","Two Rivers",73013800,2021,"CLP","Tribune",2021-05-11,2021-05-11,28.4,"Two Rivers",221.09,221.09,157.59,37.89,27.01,7,12.8454475552942,18.0214480614252
"2018-0093","Stearns","Two Rivers",73013800,2022,"CLP","Tribune",2022-05-25,2022-05-25,7.8,"Two Rivers",221.09,221.09,157.59,37.89,27.01,7,3.52797503279208,4.94955263658862
"2018-0118","Stearns","Pearl",73003700,2020,"CLP","Aquathol K",2020-05-05,2020-05-05,35.2,"Pearl",558.626,558.63,642.73,74.86,86.13,16,6.30117466784575,5.4766387129899
"2018-0118","Stearns","Pearl",73003700,2025,"CLP","Diquat Herbicide",2025-05-14,2025-05-14,39.58,"Pearl",558.626,558.63,642.73,74.86,86.13,16,7.08524128844701,6.15810682557217
"2018-0126","Chisago","North Center",13003200,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,18.58,"North Center",749.26,608,608,81.14673144,81.14673144,NA,2.47978004964899,3.05592105263158
"2018-0127","Chisago","North Center",13003200,2020,"EWM","2,4-D Amine",2020-07-09,2020-07-09,9.42,"North Center",749.26,608,608,81.14673144,81.14673144,NA,1.25724047727091,1.54934210526316
"2018-0129","Chisago","South Center",13002700,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,14.16,"South Center",544.508,544.51,462.13,65.48,55.57,10,2.60051275647006,3.06407287992556
"2018-0175","Crow Wing","Ruth",18021200,2020,"EWM","ProcellaCOR EC",2020-07-31,2020-09-24,6.6,"Ruth",207.076,207.08,260.02,34.56,43.4,20,3.18723560431919,2.53826628720868
"2018-0175","Crow Wing","Ruth",18021200,2022,"EWM","ProcellaCOR EC",2022-10-04,2022-10-04,11.9,"Ruth",207.076,207.08,260.02,34.56,43.4,20,5.7466823774846,4.57657103299746
"2018-0180","Wright","Clearwater",86025200,2020,"EWM","Dibrox",2020-09-10,2020-09-10,2.24,"Clearwater",3186.88,1595.6,50.07,50.07,1595.6,15,0.0702881815443318,4.47373676852407
"2018-0180","Wright","Clearwater",86025200,2021,"EWM","Dibrox",2021-08-23,2021-08-23,5.27,"Clearwater",3186.88,1595.6,50.07,50.07,1595.6,15,0.165365498544031,10.5252646295187
"2018-0182","Stearns","Koronis",73020002,2024,"SSW","Mizzen",2024-07-08,2024-08-19,215.4,"Koronis (main lake)",1146.637,1146.64,1146.64,38.37,38.37,15,18.7853697377636,18.7853205888509
"2018-0187","Todd","Latimer",77010500,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,8,"Latimer",83.069,83.07,36.23,41.23,17.98,8,9.63054809856866,22.0811482197074
"2018-0241","Cass","Margaret",11022200,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,7.4,"Margaret",170.02,170.02,141.24,69.93,58.09,13,4.35242912598518,5.23930897762673
"2018-0244","Crow Wing","Upper Mission",18024200,2022,"CLP","ProcellaCOR EC",2022-08-04,2022-08-04,4.5,"Upper Mission",285.461,285.46,285.46,32.63,32.63,15,1.5763974763628,1.57640299866882
"2018-0247","Crow Wing","Upper Mission",18024200,2022,"EWM","ProcellaCOR EC",2022-08-04,2022-08-04,4.5,"Upper Mission",285.461,285.46,285.46,32.63,32.63,15,1.5763974763628,1.57640299866882
"2018-0293","Isanti","Fannie",30004300,2020,"CLP","Aquathol K",2020-05-05,2020-05-05,36.35,"Fannie",268.229,268.23,227.86,77.31,65.68,10,13.5518530807631,15.9527780215922
"2018-0293","Isanti","Fannie",30004300,2021,"CLP","Aquathol K",2021-05-07,2021-05-07,27.6,"Fannie",268.229,268.23,227.86,77.31,65.68,10,10.2897151314735,12.1127007811814
"2018-0293","Isanti","Fannie",30004300,2022,"CLP","Aquathol K",2022-05-24,2022-05-24,13.3,"Fannie",268.229,268.23,227.86,77.31,65.68,10,4.95844968292019,5.83691740542438
"2018-0293","Isanti","Fannie",30004300,2022,"EWM","Tribune",2022-05-24,2022-05-24,6.6,"Fannie",268.229,268.23,227.86,77.31,65.68,10,2.46058405317844,2.89651540419556
"2018-0293","Isanti","Fannie",30004300,2024,"CLP","Flumioxazin 51WDG Prime",2024-05-09,2024-05-09,18.96,"Fannie",268.229,268.23,227.86,77.31,65.68,10,7.06858691640352,8.32089879750724
"2018-0293","Isanti","Fannie",30004300,2025,"CLP","Flumioxazin 51WDG Prime",2025-05-12,2025-05-12,38.15,"Fannie",268.229,268.23,227.86,77.31,65.68,10,14.2229214589027,16.742736768191
"2018-0294","Hennepin","Upper Twin",27004201,2020,"CLP","Diquat SPC 2 L",2020-05-28,2020-05-28,9.15,"Upper Twin",123.503,123.5,123.5,96.59,96.59,15,7.40872691351627,7.40890688259109
"2018-0332","Hubbard","Bad Axe",29020800,2021,"EWM","ProcellaCOR EC",2021-08-26,2021-08-26,2.07,"Bad Axe",303.26,125,41.22,41.22,125,15,0.68258260238739,5.02183406113537
"2018-0332","Hubbard","Bad Axe",29020800,2025,"EWM","ProcellaCOR EC",2025-07-24,2025-07-24,2,"Bad Axe",303.26,125,41.22,41.22,125,15,0.659500098925015,4.85201358563804
"2018-0333","Wright","French",86027300,2021,"EWM","ProcellaCOR",2021-07-27,2021-07-27,11.2,"French",166.944,166.94,166.94,48.15,48.15,15,6.70883649607054,6.70899724451899
"2018-0333","Wright","French",86027300,2023,"EWM","ProcellaCOR",2023-09-26,2023-09-26,7.8,"French",166.944,166.94,166.94,48.15,48.15,15,4.67222541690627,4.67233736671858
"2018-0334","Douglas","Ida",21012300,2021,"CLP","Aquathol K",2021-05-24,2021-05-24,18.7,"Ida",1751.072,1751.07,2106.87,39.56,47.59,21,1.06791725297418,0.887572560243394
"2018-0334","Douglas","Ida",21012300,2022,"CLP","Aquathol K",2022-06-03,2022-06-03,13.8,"Ida",1751.072,1751.07,2106.87,39.56,47.59,21,0.788088667970249,0.65500007119566
"2018-0334","Douglas","Ida",21012300,2024,"CLP","Semera",2024-05-23,2024-05-23,12.7,"Ida",1751.072,1751.07,2106.87,39.56,47.59,21,0.725270006030592,0.602789920593107
"2018-0371","Morrison","Alexander",49007900,2025,"CLP","FlumigardSC",2025-05-08,2025-05-08,16.45,"Alexander",843.851,843.85,1074.44,31.09,39.58,20,1.94939627967497,1.53103011801497
"2018-0395","Wright","Limestone",86016300,2020,"CLP","Aquathol K",2020-05-04,2020-05-04,7.9,"Limestone",97.929,97.93,87.88,53.34,47.87,13,8.06706899896864,8.98953117888029
"2018-0395","Wright","Limestone",86016300,2021,"CLP","Aquathol K",2021-05-01,2021-05-01,7.9,"Limestone",97.929,97.93,87.88,53.34,47.87,13,8.06706899896864,8.98953117888029
"2018-0395","Wright","Limestone",86016300,2022,"CLP","Aquathol K",2022-05-23,2022-05-23,7.9,"Limestone",97.929,97.93,87.88,53.34,47.87,13,8.06706899896864,8.98953117888029
"2018-0408","Crow Wing","Serpent",18009000,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,1.9,"Serpent",301.119,301.12,301.12,27.3,27.3,15,0.630979778758564,0.630977683315622
"2018-0408","Crow Wing","Serpent",18009000,2021,"CLP","Aquathol K",2021-05-17,2021-05-17,5,"Serpent",301.119,301.12,301.12,27.3,27.3,15,1.66047310199622,1.66046758767269
"2018-0408","Crow Wing","Serpent",18009000,2022,"CLP","Aquathol K",2022-06-01,2022-06-01,13.7,"Serpent",301.119,301.12,301.12,27.3,27.3,15,4.54969629946964,4.54968119022317
"2018-0543","Morrison","Fish Trap",49013700,2020,"CLP","Aquathol K",2020-05-21,2020-05-21,9.24,"Fish Trap",357.286,357.29,357.29,30.05,30.05,15,2.58616346568295,2.58613451258082
"2018-0543","Morrison","Fish Trap",49013700,2022,"CLP","Aquathol K",2022-06-06,2022-06-06,40.5,"Fish Trap",357.286,357.29,357.29,30.05,30.05,15,11.335456748935,11.3353298441042
"2018-0543","Morrison","Fish Trap",49013700,2024,"CLP","Aquathol K",2024-05-08,2024-05-08,39,"Fish Trap",357.286,357.29,357.29,30.05,30.05,15,10.915625017493,10.9155028128411
"2018-0544","Wright","Pleasant",86025100,2020,"CLP","Tribune",2020-05-12,2020-05-12,15,"Pleasant",291.243,291.24,326.45,50.98,57.15,18,5.15033837723138,4.59488436207689
"2018-0611","Otter Tail","Big Pine",56013000,2022,"CLP","Aquathol K",2023-05-30,2023-05-30,65,"Big Pine",2375.962,2375.96,2375.96,50.23,50.23,15,2.73573398901161,2.73573629185677
"2018-0668","Stearns","Grand",73005500,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,32.3,"Grand",233.22,233.22,233.22,35.95,35.95,15,13.8495840836978,13.8495840836978
