"Permit_number","County_name","Lake_parent_name","k_Lake_ID","App_year","species_code","Pesticide_trade_name","start_date","end_date","treatment_size","LAKE_NAME","LakeAreaAcres","15ft_LittoralZone_Acres","ObservedLittoralZone_Acres","Percentage_15ft_LittoralZone","Percentage_ObservedLittoralZone","Depth_ObservedLittoralZone","TreatmentSize_PercentofLake","TreatmentSize_PercentofLittoral","iceoff_est"
"2017-1044","Hennepin","Minnetonka",27013313,2020,"CLP","Tribune",2020-05-15,2020-05-15,47.7,"Minnetonka-North Arm",169.204,169.2,169.2,52.16,52.16,15,28.1908229119879,28.1914893617021,NA
"2017-1044","Hennepin","Minnetonka",27013313,2021,"CLP","Tribune",2021-05-26,2021-05-26,50.1,"Minnetonka-North Arm",169.204,169.2,169.2,52.16,52.16,15,29.6092290962389,29.6099290780142,NA
"2017-1044","Hennepin","Minnetonka",27013313,2025,"CLP","Tribune",2025-05-07,2025-05-07,53.62,"Minnetonka-North Arm",169.204,169.2,169.2,52.16,52.16,15,31.6895581664736,31.6903073286052,NA
"2017-1050","Lincoln","Benton",41004300,2020,"CLP","Sonar A.S.",2020-05-14,2020-05-14,1034,"Benton",2649.413,2649.41,279.36,100,10.54,5,39.0275128868168,370.131729667812,89.9567422022492
"2017-1050","Lincoln","Benton",41004300,2021,"CLP","Sonar A.S.",2021-04-14,2021-04-14,1034,"Benton",2649.413,2649.41,279.36,100,10.54,5,39.0275128868168,370.131729667812,78.4965413942107
"2017-1154","Ramsey","Bald Eagle",62000200,2020,"CLP","Diquat Herbicide",2020-05-04,2020-05-04,72.6,"Bald Eagle",589.063,589.06,211.86,56.13,20.19,6,12.3246579737651,34.2679127725857,97.5118653483972
"2017-1154","Ramsey","Bald Eagle",62000200,2022,"CLP","Tribune",2023-05-16,2023-05-16,68.93,"Bald Eagle",589.063,589.06,211.86,56.13,20.19,6,11.7016346299123,32.5356367412442,110.514521375642
"2017-1297","Dakota","Farquar",19002300,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,10,"Farquar",63.581,63.58,63.58,100,100,15,15.7279690473569,15.7282164202579,80.8949776015208
"2017-1306","Rice","Cedar",66005200,2023,"CLP","Aquathol K",2023-05-11,2023-05-11,50,"Cedar",667.272,667.27,238.02,75.35,26.88,4,7.49319617787049,21.0066380976389,105.799079350062
"2018-0093","Stearns","Two Rivers",73013800,2021,"CLP","Tribune",2021-05-11,2021-05-11,28.4,"Two Rivers",221.09,221.09,157.59,37.89,27.01,7,12.8454475552942,18.0214480614252,89.8169722673671
"2018-0187","Todd","Latimer",77010500,2020,"CLP","Aquathol K",2020-05-26,2020-05-26,8,"Latimer",83.069,83.07,36.23,41.23,17.98,8,9.63054809856866,22.0811482197074,102.339268574231
"2018-0293","Isanti","Fannie",30004300,2020,"CLP","Aquathol K",2020-05-05,2020-05-05,36.35,"Fannie",268.229,268.23,227.86,77.31,65.68,10,13.5518530807631,15.9527780215922,99.7264967461048
"2018-0293","Isanti","Fannie",30004300,2025,"CLP","Flumioxazin 51WDG Prime",2025-05-12,2025-05-12,38.15,"Fannie",268.229,268.23,227.86,77.31,65.68,10,14.2229214589027,16.742736768191,93.097751160476
"2018-0670","Sherburne","Briggs",71014600,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,32,"Briggs",219.68,219.68,145.72,54.35,36.05,8,14.5666423889294,21.959923140269,98.6188922655029
"2018-0670","Sherburne","Briggs",71014600,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,32.25,"Briggs",219.68,219.68,145.72,54.35,36.05,8,14.6804442825929,22.1314850398024,87.1586914574644
"2018-0670","Sherburne","Briggs",71014600,2023,"CLP","Aquathol K",2023-05-23,2023-05-23,25.3,"Briggs",219.68,219.68,145.72,54.35,36.05,8,11.5167516387473,17.3620642327752,111.621548292747
"2018-0670","Sherburne","Briggs",71014600,2025,"CLP","FlumigardSC",2025-04-30,2025-04-30,27.8,"Briggs",219.68,219.68,145.72,54.35,36.05,8,12.6547705753824,19.0776832281087,91.9901466798741
"2018-0672","Sherburne","Julia",71014500,2020,"CLP","Aquathol K",2020-05-15,2020-05-15,8,"Julia",151.823,151.82,45.68,99.75,30.01,6,5.26929384875809,17.5131348511384,97.8631045358759
"2018-0672","Sherburne","Julia",71014500,2021,"CLP","Aquathol K",2021-05-05,2021-05-05,10.5,"Julia",151.823,151.82,45.68,99.75,30.01,6,6.915948176495,22.9859894921191,86.4029037278374
"2018-0898","Isanti","Blue",30010700,2020,"CLP","Aquathol K",2020-05-22,2020-05-22,15.76,"Blue",295.99,134,45.27,45.27,134,15,5.32450420622318,34.813342169207,98.9012782222521
"2018-0898","Isanti","Blue",30010700,2021,"CLP","Diquat Herbicide",2021-05-17,2021-05-17,16,"Blue",295.99,134,45.27,45.27,134,15,5.40558802662252,35.3434945880274,87.4410774142136
"2018-0898","Isanti","Blue",30010700,2023,"CLP","Tribune",2023-05-23,2023-05-23,16,"Blue",295.99,134,45.27,45.27,134,15,5.40558802662252,35.3434945880274,111.903934249497
"2018-0910","Wright","Constance",86005100,2024,"CLP","Tribune",2024-04-29,2024-04-29,8.2,"Constance",86.428,86.43,43.43,53.51,26.89,8.5,9.4876660341556,18.8809578632282,NA
"2018-1014","Blue Earth","Duck",7005300,2020,"CLP","Dibrox",2020-05-06,2020-05-06,23.7,"Duck",247.129,247.13,147.19,85.1,50.68,10,9.59013308838704,16.1016373394932,92.2680051218813
"2018-1015","Isanti","Green",30013600,2020,"CLP","Dibrox",2020-05-20,2020-05-20,50.5,"Green",357.1,357.1,135.24,42.88,16.24,5,14.1416970036404,37.3410233658681,100.671668254481
"2018-1228","Sherburne","Eagle",71006700,2020,"CLP","Aquathol K",2020-05-16,2020-05-16,46.5,"Eagle",319.487,319.49,158.06,70.24,34.75,7,14.5545828155762,29.4192078957358,97.8843408465798
"2018-1512","Hennepin","Weaver",27011700,2022,"CLP","Aquathol K",2022-06-01,2022-06-01,10.1,"Weaver",73.243,73.24,66.34,48.16,43.62,11,13.7897136927761,15.224600542659,108.961337394561
"2019-0880","Scott","Cleary",70002200,2020,"CLP","Sonar A.S.",2020-04-14,2020-05-06,290,"Cleary",144.743,144.74,130.59,99.02,89.34,7,200.355112164319,222.069071138678,93.1586316868526
"2019-0880","Scott","Cleary",70002200,2021,"CLP","Sonar A.S.",2021-04-07,2021-04-07,145,"Cleary",144.743,144.74,130.59,99.02,89.34,7,100.177556082159,111.034535569339,81.6984308788141
"2019-0880","Scott","Cleary",70002200,2022,"CLP","Sonar A.S.",2022-04-20,2022-04-20,145,"Cleary",144.743,144.74,130.59,99.02,89.34,7,100.177556082159,111.034535569339,105.972450628875
